id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
ougNefTVrmlv0Z1ZID8kfw,the-f-truck-los-angeles,The F Truck,https://s3-media3.fl.yelpcdn.com/bphoto/QbWjIWs50EVlxDWMLNvVrw/o.jpg,False,https://www.yelp.com/biz/the-f-truck-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,7,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.06757, 'longitude': -118.24115}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",+16269567740,(626) 956-7740,20128.477301800613,
kfm9qAJf8nY6UJhSmg2cDA,camichft-covina-3,Camichft,https://s3-media2.fl.yelpcdn.com/bphoto/3fBKNP73F5qtsN-95S8xZQ/o.jpg,False,https://www.yelp.com/biz/camichft-covina-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,33,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,"{'latitude': 34.1069046702971, 'longitude': -117.913374714553}",['delivery'],"{'address1': '17200 Arrow Hwy', 'address2': None, 'address3': '', 'city': 'Covina', 'zip_code': '91722', 'country': 'US', 'state': 'CA', 'display_address': ['17200 Arrow Hwy', 'Covina, CA 91722']}",+16264357451,(626) 435-7451,12326.453798358329,
4cF21S-T9X66ixeHbyaEhA,little-hang-pasadena-4,Little Hang,https://s3-media2.fl.yelpcdn.com/bphoto/UklX2lMiUCqlQQigW5oT8Q/o.jpg,False,https://www.yelp.com/biz/little-hang-pasadena-4?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,5,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]",5.0,"{'latitude': 34.14595, 'longitude': -118.10085}",[],"{'address1': '', 'address2': None, 'address3': '', 'city': 'Pasadena', 'zip_code': '91107', 'country': 'US', 'state': 'CA', 'display_address': ['Pasadena, CA 91107']}",+17145480574,(714) 548-0574,4869.9510199865945,
RTd8qW4O6vMbI14ofs9_Ag,chili-chili-mango-pasadena-6,Chili Chili Mango,https://s3-media2.fl.yelpcdn.com/bphoto/nWBoT0mYEJqTSGAde-843g/o.jpg,False,https://www.yelp.com/biz/chili-chili-mango-pasadena-6?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,2,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.18704, 'longitude': -118.13342}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Pasadena', 'zip_code': '91001', 'country': 'US', 'state': 'CA', 'display_address': ['Pasadena, CA 91001']}",+16267651723,(626) 765-1723,11160.53784598008,$$
1SeCdGBjwEEO2MwJ7jPFeg,cousins-maine-lobster-los-angeles-los-angeles,Cousins Maine Lobster - Los Angeles,https://s3-media2.fl.yelpcdn.com/bphoto/ZcieicfixXGNdhL-enqZ9w/o.jpg,False,https://www.yelp.com/biz/cousins-maine-lobster-los-angeles-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,978,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 34.05682, 'longitude': -118.24387}",[],"{'address1': '', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",+18558554265,(855) 855-4265,20128.477301800613,$$
xInbYfhJbFlSMJ65mPerXA,got-paella-los-angeles-2,GOT PAELLA,https://s3-media4.fl.yelpcdn.com/bphoto/d5L3cxZoBzFCsSunOHE8fw/o.jpg,False,https://www.yelp.com/biz/got-paella-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,24,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 34.0524482727051, 'longitude': -118.255325317383}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90071', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90071']}",+13108011561,(310) 801-1561,21612.02626232297,
j_ei6HErlOHejbNPaVzW7w,fish-wagon-altadena,Fish Wagon,https://s3-media2.fl.yelpcdn.com/bphoto/KvbRdcLjINvrE9y_vlNaOg/o.jpg,False,https://www.yelp.com/biz/fish-wagon-altadena?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,3,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.1856842041016, 'longitude': -118.13151550293}",[],"{'address1': '', 'address2': '', 'address3': None, 'city': 'Altadena', 'zip_code': '91001', 'country': 'US', 'state': 'CA', 'display_address': ['Altadena, CA 91001']}",+18572096885,(857) 209-6885,9874.574865133116,
NSZEsYNMm_tFnRJjRaiSSg,mt-sierra-college-family-friends-foodtrucks-monrovia,"Mt. Sierra College Family, Friends Foodtrucks",https://s3-media4.fl.yelpcdn.com/bphoto/NYTtR_htk1gC7WU3onUAnA/o.jpg,False,https://www.yelp.com/biz/mt-sierra-college-family-friends-foodtrucks-monrovia?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'festivals', 'title': 'Festivals'}]",4.0,"{'latitude': 34.1410505571224, 'longitude': -117.999520562589}",[],"{'address1': '101 E Huntington Dr', 'address2': '', 'address3': '', 'city': 'Monrovia', 'zip_code': '91016', 'country': 'US', 'state': 'CA', 'display_address': ['101 E Huntington Dr', 'Monrovia, CA 91016']}",,,4005.339920082907,$$
K1i3Zlm006rSJkKq4PB8Gg,brick-and-flour-pasadena,Brick & Flour,https://s3-media1.fl.yelpcdn.com/bphoto/XlU2l9gt897ewntjcg26xQ/o.jpg,False,https://www.yelp.com/biz/brick-and-flour-pasadena?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,478,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 34.1478112, 'longitude': -118.1216402}","['delivery', 'pickup']","{'address1': '105 N Hill Ave', 'address2': 'Ste 102', 'address3': None, 'city': 'Pasadena', 'zip_code': '91106', 'country': 'US', 'state': 'CA', 'display_address': ['105 N Hill Ave', 'Ste 102', 'Pasadena, CA 91106']}",+16267370449,(626) 737-0449,7392.438033033868,$
RL0SGU_e3tkC3L4XOV5MEw,tacos-castillo-south-el-monte,Tacos Castillo,https://s3-media4.fl.yelpcdn.com/bphoto/pjpeHYsc8qWFDRrBq-GMcQ/o.jpg,False,https://www.yelp.com/biz/tacos-castillo-south-el-monte?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.5,"{'latitude': 34.0575399470972, 'longitude': -118.051699921489}",[],"{'address1': '2509 Merced Ave', 'address2': '', 'address3': None, 'city': 'South El Monte', 'zip_code': '91733', 'country': 'US', 'state': 'CA', 'display_address': ['2509 Merced Ave', 'South El Monte, CA 91733']}",,,8759.13853461675,
