id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
zwnwnvxZ5r9ReRWXId74ug,bienvenidos-a-bertortas-la-puente,Bienvenidos A Bertortas,https://s3-media3.fl.yelpcdn.com/bphoto/VDIEw337K-7GCfsqeIb-FQ/o.jpg,False,https://www.yelp.com/biz/bienvenidos-a-bertortas-la-puente?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 34.0444, 'longitude': -117.9265}",[],"{'address1': '1415 Valinda Ave', 'address2': '', 'address3': None, 'city': 'La Puente', 'zip_code': '91744', 'country': 'US', 'state': 'CA', 'display_address': ['1415 Valinda Ave', 'La Puente, CA 91744']}",,,5564.331838934172,
WJG_LurPkJc66geLagx3Mg,tacos-los-de-la-indiana-la-puente,Tacos Los de La Indiana,https://s3-media2.fl.yelpcdn.com/bphoto/GqY28PG_y0C_S_yxvc8WFQ/o.jpg,False,https://www.yelp.com/biz/tacos-los-de-la-indiana-la-puente?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,2,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.037266, 'longitude': -117.947577}",[],"{'address1': '15503 Amar Rd', 'address2': '', 'address3': None, 'city': 'La Puente', 'zip_code': '91744', 'country': 'US', 'state': 'CA', 'display_address': ['15503 Amar Rd', 'La Puente, CA 91744']}",,,5392.435878030708,
VzDGo-xf_kWcwDICvhp90g,metro-basilica-truck-la-puente-2,Metro Basilica Truck,https://s3-media2.fl.yelpcdn.com/bphoto/Z1D_hd9Xe3ja0y-Tbs2Gdw/o.jpg,False,https://www.yelp.com/biz/metro-basilica-truck-la-puente-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,33,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 34.020062, 'longitude': -117.9578731}",['delivery'],"{'address1': '15701 Valley Blvd', 'address2': '', 'address3': '', 'city': 'La Puente', 'zip_code': '91744', 'country': 'US', 'state': 'CA', 'display_address': ['15701 Valley Blvd', 'La Puente, CA 91744']}",,,7118.327883031785,$
8L86fCvsYWcPwfWrmHS-Sw,big-boys-philly-cheese-steak-east-los-angeles,Big Boys Philly Cheese Steak,https://s3-media2.fl.yelpcdn.com/bphoto/qy6sp89VcHZZteKScln3TQ/o.jpg,False,https://www.yelp.com/biz/big-boys-philly-cheese-steak-east-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,2,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.019041, 'longitude': -118.151971}",[],"{'address1': '5468 Whittier Blvd', 'address2': '', 'address3': None, 'city': 'East Los Angeles', 'zip_code': '90022', 'country': 'US', 'state': 'CA', 'display_address': ['5468 Whittier Blvd', 'East Los Angeles, CA 90022']}",,,18790.098197600026,
ABo7JlVtkXUe2sAEoN0FZw,taqueria-la-guadalupana-hacienda-heights-hacienda-heights,Taqueria La Guadalupana Hacienda Heights,https://s3-media3.fl.yelpcdn.com/bphoto/2R-vn1QiMiAJfDtBHmzCCg/o.jpg,False,https://www.yelp.com/biz/taqueria-la-guadalupana-hacienda-heights-hacienda-heights?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,83,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.0104892112749, 'longitude': -117.961951454385}",[],"{'address1': '15848 Gale Ave', 'address2': '', 'address3': None, 'city': 'Hacienda Heights', 'zip_code': '91745', 'country': 'US', 'state': 'CA', 'display_address': ['15848 Gale Ave', 'Hacienda Heights, CA 91745']}",+13235940509,(323) 594-0509,8164.408355801197,$
yzWakNG97lAJ7y3Y_wkBzQ,the-slummin-gourmet-walnut,The Slummin' Gourmet,https://s3-media4.fl.yelpcdn.com/bphoto/ctjfZZmNocWaP4MaxYmRjA/o.jpg,False,https://www.yelp.com/biz/the-slummin-gourmet-walnut?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,119,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 33.985881, 'longitude': -117.868752}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Walnut', 'zip_code': '91789', 'country': 'US', 'state': 'CA', 'display_address': ['Walnut, CA 91789']}",+16264822950,(626) 482-2950,13972.884274061807,$$
zReeKxFkFcAZ8n-ApF--cQ,don-meños-tacos-azusa,Don Meños Tacos,https://s3-media3.fl.yelpcdn.com/bphoto/o9nfTzUiN8O2rg4RlY6-Zw/o.jpg,False,https://www.yelp.com/biz/don-me%C3%B1os-tacos-azusa?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,10,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",3.5,"{'latitude': 34.1071548, 'longitude': -117.9201279}",[],"{'address1': '16711 E Arrow Hwy', 'address2': '', 'address3': 'Parking Lot', 'city': 'Azusa', 'zip_code': '91702', 'country': 'US', 'state': 'CA', 'display_address': ['16711 E Arrow Hwy', 'Parking Lot', 'Azusa, CA 91702']}",,,4791.310583205888,$
SgyYpyNyMJj94O31Io06pw,chinese-street-food-monterey-park-2,Chinese Street Food,https://s3-media4.fl.yelpcdn.com/bphoto/7Wi--f6whomxM9a4akFAHw/o.jpg,False,https://www.yelp.com/biz/chinese-street-food-monterey-park-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'chinese', 'title': 'Chinese'}]",5.0,"{'latitude': 34.05137, 'longitude': -118.14777}",[],"{'address1': '', 'address2': '', 'address3': None, 'city': 'Monterey Park', 'zip_code': '91754', 'country': 'US', 'state': 'CA', 'display_address': ['Monterey Park, CA 91754']}",+16263327555,(626) 332-7555,16885.52727523863,
eBRMFCuUJulYXmFUfuNQvQ,la-barquita-mariscos-covina,La Barquita Mariscos,https://s3-media3.fl.yelpcdn.com/bphoto/0QOZrsP88pAqQVjcM9vkfQ/o.jpg,False,https://www.yelp.com/biz/la-barquita-mariscos-covina?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",2.5,"{'latitude': 34.0975112915039, 'longitude': -117.903411865234}",[],"{'address1': '', 'address2': '', 'address3': None, 'city': 'Covina', 'zip_code': '91722', 'country': 'US', 'state': 'CA', 'display_address': ['Covina, CA 91722']}",+16264267609,(626) 426-7609,5326.07435386216,
uHNYXKFUN0XhAn9WYoMywQ,silver-fox-mexican-food-truck-la-puente,Silver Fox Mexican Food Truck,https://s3-media3.fl.yelpcdn.com/bphoto/xWvuc9r8DB7s2q0W3FsK1g/o.jpg,False,https://www.yelp.com/biz/silver-fox-mexican-food-truck-la-puente?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.0071973213632, 'longitude': -117.91253618896}",[],"{'address1': '17855 Valley Blvd', 'address2': '', 'address3': '', 'city': 'La Puente', 'zip_code': '91744', 'country': 'US', 'state': 'CA', 'display_address': ['17855 Valley Blvd', 'La Puente, CA 91744']}",,,9742.250796667835,
