id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
DubL4xMHaGvlpzayWntHOw,slaters-50-50-food-truck-paramount,Slater's 50/50 Food Truck,https://s3-media2.fl.yelpcdn.com/bphoto/H5nTENddQxSsZnbAFKGYxg/o.jpg,False,https://www.yelp.com/biz/slaters-50-50-food-truck-paramount?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,7,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 33.8986930847168, 'longitude': -118.174560546875}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Paramount', 'zip_code': '90723', 'country': 'US', 'state': 'CA', 'display_address': ['Paramount, CA 90723']}",+13233590321,(323) 359-0321,11297.275705861544,
cYcNYyqchuOy_y-jiBKF0g,churro-boss-monterey-park-8,Churro Boss,https://s3-media1.fl.yelpcdn.com/bphoto/S1ba_qieCHYww-frICwF7g/o.jpg,False,https://www.yelp.com/biz/churro-boss-monterey-park-8?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,213,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.064898, 'longitude': -118.133709}",[],"{'address1': '300 N Atlantic Blvd', 'address2': None, 'address3': None, 'city': 'Monterey Park ', 'zip_code': '91754', 'country': 'US', 'state': 'CA', 'display_address': ['300 N Atlantic Blvd', 'Monterey Park , CA 91754']}",+12136182585,(213) 618-2585,28077.570110215907,$
LP4ED5x6dOEdbVQYgOubPw,cheladas-la-resaca-long-beach,Cheladas la resaca,https://s3-media4.fl.yelpcdn.com/bphoto/vzPMAqm29eZWYDvQ1sUkLQ/o.jpg,False,https://www.yelp.com/biz/cheladas-la-resaca-long-beach?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,22,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 33.854112, 'longitude': -118.194696}",[],"{'address1': '44 E Market St', 'address2': None, 'address3': None, 'city': 'Long Beach', 'zip_code': '90805', 'country': 'US', 'state': 'CA', 'display_address': ['44 E Market St', 'Long Beach, CA 90805']}",+15627191638,(562) 719-1638,6535.700262846465,
uJUVrZGEZ-mPudAFLzeCjg,chef-cs-smhokin-pot-hawthorne-24,Chef C's Smhokin Pot,https://s3-media4.fl.yelpcdn.com/bphoto/b7p5JA1swQoleuw7E0wzvw/o.jpg,False,https://www.yelp.com/biz/chef-cs-smhokin-pot-hawthorne-24?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,91,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'southern', 'title': 'Southern'}]",3.5,"{'latitude': 33.916859, 'longitude': -118.333507}","['delivery', 'pickup']","{'address1': None, 'address2': None, 'address3': None, 'city': 'Hawthorne', 'zip_code': '90250', 'country': 'US', 'state': 'CA', 'display_address': ['Hawthorne, CA 90250']}",+13102832029,(310) 283-2029,11163.561148274835,$$
a6qVh1J2nO50LQXv-yscvw,fruit-me-harbor-city-3,Fruit Me,https://s3-media3.fl.yelpcdn.com/bphoto/y7BhHjL2BSAMv8-UkV32Yg/o.jpg,False,https://www.yelp.com/biz/fruit-me-harbor-city-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,18,"[{'alias': 'foodstands', 'title': 'Food Stands'}]",5.0,"{'latitude': 33.809027, 'longitude': -118.290452}",[],"{'address1': '23831 S Vermont Ave', 'address2': '', 'address3': None, 'city': 'Harbor City', 'zip_code': '90710', 'country': 'US', 'state': 'CA', 'display_address': ['23831 S Vermont Ave', 'Harbor City, CA 90710']}",,,3980.8961111036924,
dvRoSS5y3-zuNsnQdRf49w,postcards-central-american-soul-food-los-angeles,Postcards Central American Soul Food,https://s3-media4.fl.yelpcdn.com/bphoto/uC7Bp5BE2IYmXoJ4UBiK-g/o.jpg,False,https://www.yelp.com/biz/postcards-central-american-soul-food-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,128,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.5,"{'latitude': 34.0387725830078, 'longitude': -118.26114654541}","['delivery', 'pickup']","{'address1': '', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90015', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90015']}",+13108010441,(310) 801-0441,22589.522844192925,$$
SZWa_A7ZD4SHpFvJz17tcQ,dulce-canella-east-compton-2,Dulce Canella,https://s3-media2.fl.yelpcdn.com/bphoto/QBukPP-QVBMEzDOs1Cc1uA/o.jpg,False,https://www.yelp.com/biz/dulce-canella-east-compton-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,63,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 33.8939935697781, 'longitude': -118.193237408996}",[],"{'address1': '15116 Atlantic Ave', 'address2': None, 'address3': '', 'city': 'East Compton', 'zip_code': '90221', 'country': 'US', 'state': 'CA', 'display_address': ['15116 Atlantic Ave', 'East Compton, CA 90221']}",+15626416765,(562) 641-6765,9056.0434146494,$
fWT0E1L3ABUZM2LPjb5xyQ,birrieria-los-gonzalez-compton,Birrieria Los Gonzalez,https://s3-media1.fl.yelpcdn.com/bphoto/D1qjGWEOXjKQdKivWYjsVA/o.jpg,False,https://www.yelp.com/biz/birrieria-los-gonzalez-compton?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,56,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.0,"{'latitude': 33.9038552196054, 'longitude': -118.19860752672}",[],"{'address1': '2323 Rosecrans Ave', 'address2': '', 'address3': None, 'city': 'Compton', 'zip_code': '90221', 'country': 'US', 'state': 'CA', 'display_address': ['2323 Rosecrans Ave', 'Compton, CA 90221']}",+13237049057,(323) 704-9057,9556.528569639302,$
HM1RIT9PW8iQZidsdwlbIA,tamales-juanita-los-angeles,Tamales Juanita,https://s3-media3.fl.yelpcdn.com/bphoto/ZT6OZkahtGw3bHbZjmxIUw/o.jpg,False,https://www.yelp.com/biz/tamales-juanita-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,30,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 33.7862938235219, 'longitude': -118.274849928448}",[],"{'address1': '1163 Wilmington Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90744', 'country': 'US', 'state': 'CA', 'display_address': ['1163 Wilmington Blvd', 'Los Angeles, CA 90744']}",+13109183699,(310) 918-3699,5643.1373217187265,$
Mhq7X7yg9xhL0nAprEuhnQ,sausage-masters-carson,Sausage Masters,https://s3-media1.fl.yelpcdn.com/bphoto/8oMZBzwxQxTU3nRQIg77FA/o.jpg,False,https://www.yelp.com/biz/sausage-masters-carson?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,3,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}]",5.0,"{'latitude': 33.8316116333008, 'longitude': -118.26212310791}",[],"{'address1': 'South Bay Pavillion', 'address2': '', 'address3': '', 'city': 'Carson', 'zip_code': '', 'country': 'US', 'state': 'CA', 'display_address': ['South Bay Pavillion', 'Carson, CA']}",+13233331242,(323) 333-1242,845.0576533483417,$
