id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
ewLIWt-7k_lU6yNOXdCZkA,kona-ice-of-downey-downey,Kona Ice of Downey,https://s3-media2.fl.yelpcdn.com/bphoto/Nan4HJifkgmfA70Y8CcPUQ/o.jpg,False,https://www.yelp.com/biz/kona-ice-of-downey-downey?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,14,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}]",4.5,"{'latitude': 33.9372725, 'longitude': -118.1298234}",[],"{'address1': None, 'address2': None, 'address3': None, 'city': 'Downey', 'zip_code': '90241', 'country': 'US', 'state': 'CA', 'display_address': ['Downey, CA 90241']}",+15629913807,(562) 991-3807,9947.261409681088,
IAzVa3gaOGeIKttZqphD2g,teddys-red-tacos-los-angeles,Teddy's Red Tacos,https://s3-media4.fl.yelpcdn.com/bphoto/bJt65q2uNUkC94FclThn1g/o.jpg,False,https://www.yelp.com/biz/teddys-red-tacos-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,845,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.0,"{'latitude': 33.9894829, 'longitude': -118.262014}",['delivery'],"{'address1': '731 East Slauson Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90011', 'country': 'US', 'state': 'CA', 'display_address': ['731 East Slauson Ave', 'Los Angeles, CA 90011']}",+13234959654,(323) 495-9654,11599.317625037214,$
HGp-YlWC1-ocf7Z3Z2qD9w,cheddr-wheel-long-beach,Cheddr Wheel,https://s3-media2.fl.yelpcdn.com/bphoto/lbHZJ0Bp6F5P-9Ano52zMQ/o.jpg,False,https://www.yelp.com/biz/cheddr-wheel-long-beach?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,49,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 33.76605, 'longitude': -118.187095}","['delivery', 'pickup']","{'address1': '488 E Ocean Blvd', 'address2': None, 'address3': None, 'city': 'Long Beach', 'zip_code': '90802', 'country': 'US', 'state': 'CA', 'display_address': ['488 E Ocean Blvd', 'Long Beach, CA 90802']}",+15622806099,(562) 280-6099,14220.366691884637,
fXT5V8TQQ_6MqXJkyg9J-A,silvia-s-tacos-torrance,Silvia’s Tacos,https://s3-media2.fl.yelpcdn.com/bphoto/6_K_6ijBXdZNX206Ti0T6w/o.jpg,False,https://www.yelp.com/biz/silvia-s-tacos-torrance?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'latin', 'title': 'Latin American'}]",4.0,"{'latitude': 33.819468, 'longitude': -118.306492}",[],"{'address1': '22715 Harvard Blvd', 'address2': '', 'address3': None, 'city': 'Torrance', 'zip_code': '90501', 'country': 'US', 'state': 'CA', 'display_address': ['22715 Harvard Blvd', 'Torrance, CA 90501']}",+13105146112,(310) 514-6112,11125.242419710707,
yHt-l550c6lmU4v9JZUmgQ,carnitas-el-barrio-los-angeles,Carnitas el barrio,https://s3-media1.fl.yelpcdn.com/bphoto/syxhwMofds0xqwmH_4D_oA/o.jpg,False,https://www.yelp.com/biz/carnitas-el-barrio-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,2,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 33.935082, 'longitude': -118.245965}",[],"{'address1': '11026 Compton Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90059', 'country': 'US', 'state': 'CA', 'display_address': ['11026 Compton Ave', 'Los Angeles, CA 90059']}",+13236676104,(323) 667-6104,5421.384461315937,
YTNDFalkX-JPI07UDncO9A,panchos-tacos-truck-long-beach-2,Pancho's Tacos Truck,https://s3-media3.fl.yelpcdn.com/bphoto/_5ORAjYQ9kNF-jcTC9KARQ/o.jpg,False,https://www.yelp.com/biz/panchos-tacos-truck-long-beach-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,45,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 33.783131, 'longitude': -118.197525}",[],"{'address1': '449 W Anaheim St', 'address2': '', 'address3': None, 'city': 'Long Beach', 'zip_code': '90813', 'country': 'US', 'state': 'CA', 'display_address': ['449 W Anaheim St', 'Long Beach, CA 90813']}",+13233962121,(323) 396-2121,12163.359224817777,$
E02jtyN7b9LJW8bJwX97kA,african-chop-los-angeles,African Chop,https://s3-media1.fl.yelpcdn.com/bphoto/JjrtjbLEAClF4x_OCkoGlw/o.jpg,False,https://www.yelp.com/biz/african-chop-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,26,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'african', 'title': 'African'}]",4.5,"{'latitude': 33.97853, 'longitude': -118.2497}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90001', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90001']}",+14084295458,(408) 429-5458,9098.010940179662,
F9luhEkdQ_lOWWuNqDKD3A,delicious-strawberries-and-more-long-beach-3,Delicious Strawberries and More,https://s3-media1.fl.yelpcdn.com/bphoto/bTDLmcw2n3GRqr5NlXtS8Q/o.jpg,False,https://www.yelp.com/biz/delicious-strawberries-and-more-long-beach-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,16,"[{'alias': 'shavedice', 'title': 'Shaved Ice'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 33.84143, 'longitude': -118.18429}","['delivery', 'pickup']","{'address1': '4540 Atlantic Ave', 'address2': None, 'address3': '', 'city': 'Long Beach', 'zip_code': '90807', 'country': 'US', 'state': 'CA', 'display_address': ['4540 Atlantic Ave', 'Long Beach, CA 90807']}",+13235171625,(323) 517-1625,6475.979230643603,$
myAXLTUq4QzEKrKochn9Ww,tacos-el-culichi-east-compton,Tacos El Culichi,https://s3-media1.fl.yelpcdn.com/bphoto/kFNZkUTaBXmD_DUMIt3_TA/o.jpg,False,https://www.yelp.com/biz/tacos-el-culichi-east-compton?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,29,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 33.8925437927246, 'longitude': -118.193092346191}",[],"{'address1': '15300-15498 Atlantic Ave', 'address2': '', 'address3': '', 'city': 'East Compton', 'zip_code': '90221', 'country': 'US', 'state': 'CA', 'display_address': ['15300-15498 Atlantic Ave', 'East Compton, CA 90221']}",,,2659.770908265716,$
PwMPj1HA4KAKzbu8feHIFA,badchkn-glendale,Badchkn,https://s3-media4.fl.yelpcdn.com/bphoto/E1H4gan8OMhvnTVtNdkSYA/o.jpg,False,https://www.yelp.com/biz/badchkn-glendale?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,21,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 34.136914, 'longitude': -118.24043}",[],"{'address1': '801 S Chevy Chase Dr', 'address2': None, 'address3': '', 'city': 'Glendale', 'zip_code': '91205', 'country': 'US', 'state': 'CA', 'display_address': ['801 S Chevy Chase Dr', 'Glendale, CA 91205']}",+18182218874,(818) 221-8874,27437.877515780485,
