id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
2SZzWTSy-STnwsO_Hn-FxQ,daniels-food-truck-los-angeles-2,Daniels Food Truck,https://s3-media3.fl.yelpcdn.com/bphoto/seGK31LFtTXjpglSG-eQ4Q/o.jpg,False,https://www.yelp.com/biz/daniels-food-truck-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,2,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 34.0703309, 'longitude': -118.4272066}",['delivery'],"{'address1': '799 Comstock Av', 'address2': None, 'address3': None, 'city': 'Los Angeles', 'zip_code': '90024', 'country': 'US', 'state': 'CA', 'display_address': ['799 Comstock Av', 'Los Angeles, CA 90024']}",+13237423770,(323) 742-3770,7527.787645603845,
fv5M19-7YerFFXQxkPc0ig,pinch-of-flavor-santa-monica-3,Pinch Of Flavor,https://s3-media4.fl.yelpcdn.com/bphoto/sTTVjlqmrdDLpQNlbvynzQ/o.jpg,False,https://www.yelp.com/biz/pinch-of-flavor-santa-monica-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,116,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 34.0053558349609, 'longitude': -118.479789733887}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Santa Monica', 'zip_code': '90405', 'country': 'US', 'state': 'CA', 'display_address': ['Santa Monica, CA 90405']}",+12138805513,(213) 880-5513,6276.184473099348,$
hNdW9TDbw-P_kGauZixG7A,food-truck-alley-santa-monica,Food Truck Alley,https://s3-media2.fl.yelpcdn.com/bphoto/fgAkAdLEijbDCDZUb6DlHg/o.jpg,False,https://www.yelp.com/biz/food-truck-alley-santa-monica?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,21,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.0303712, 'longitude': -118.4689878}",[],"{'address1': '2700 Pennsylvania Ave', 'address2': '', 'address3': '', 'city': 'Santa Monica', 'zip_code': '90404', 'country': 'US', 'state': 'CA', 'display_address': ['2700 Pennsylvania Ave', 'Santa Monica, CA 90404']}",,,7039.687044282539,$$
VxxfHy9HqPVfTw6mdpwjaQ,el-hamecla-mariscos-truck-los-angeles,El Hamecla Mariscos Truck,https://s3-media4.fl.yelpcdn.com/bphoto/1LQnMRpGAq8gUfFOW9eKLQ/o.jpg,False,https://www.yelp.com/biz/el-hamecla-mariscos-truck-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,9,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.006922211882, 'longitude': -118.45720177692}",[],"{'address1': '1360 Rose Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90291', 'country': 'US', 'state': 'CA', 'display_address': ['1360 Rose Ave', 'Los Angeles, CA 90291']}",,,5462.475267956291,$
Uxoc6gWNf5HuG1hpEJg7Ag,cali-banh-mi-los-angeles-2,Cali Banh Mi,https://s3-media1.fl.yelpcdn.com/bphoto/7UmkEoZnx7NgTfJHHnztGg/o.jpg,False,https://www.yelp.com/biz/cali-banh-mi-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,13,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",2.5,"{'latitude': 33.975808919315, 'longitude': -118.427116080926}",[],"{'address1': '', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90001', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90001']}",,,4399.959605231931,
s8nB3df99dPacs1mCjFrpg,b-sweet-dessert-truck-los-angeles-2,B Sweet Dessert Truck,https://s3-media3.fl.yelpcdn.com/bphoto/Q7E-zDra3xyWLxw6cQtawQ/o.jpg,False,https://www.yelp.com/biz/b-sweet-dessert-truck-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,40,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.0290045, 'longitude': -118.3908787}",[],"{'address1': '3380 1/2 S Robertson Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['3380 1/2 S Robertson Blvd', 'Los Angeles, CA 90034']}",+13109639769,(310) 963-9769,2518.538474967376,$
rjz50w0fVSWyTpepJZOmBA,cemitas-poblanas-los-angeles-2,Cemitas Poblanas,https://s3-media4.fl.yelpcdn.com/bphoto/k9JpfhPvip-ShyxMYuOt9A/o.jpg,False,https://www.yelp.com/biz/cemitas-poblanas-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,47,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 34.036758, 'longitude': -118.434098}",[],"{'address1': '11060 W Pico Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['11060 W Pico Blvd', 'Los Angeles, CA 90064']}",+19092361797,(909) 236-1797,4686.292901881459,$
Q21ynLFVwcDMDqA1GSZ9fg,aloha-fridays-los-angeles,Aloha Fridays,https://s3-media4.fl.yelpcdn.com/bphoto/0uC05w_DQxc0Q0xHVsfeUw/o.jpg,False,https://www.yelp.com/biz/aloha-fridays-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,2,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",4.5,"{'latitude': 34.0316827404172, 'longitude': -118.457235507667}",[],"{'address1': '12461-12467 W Olympic Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['12461-12467 W Olympic Blvd', 'Los Angeles, CA 90064']}",+18188553204,(818) 855-3204,6109.049511498671,$$
yRP8Zscume4n8pBDrTIcKA,tacos-and-tamales-los-angeles,Tacos & Tamales,https://s3-media2.fl.yelpcdn.com/bphoto/9gL6tyAYB4kuU9IvXpRfYw/o.jpg,False,https://www.yelp.com/biz/tacos-and-tamales-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,7,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.5,"{'latitude': 34.0521354675293, 'longitude': -118.371482849121}",[],"{'address1': '6006 Pico Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90035', 'country': 'US', 'state': 'CA', 'display_address': ['6006 Pico Blvd', 'Los Angeles, CA 90035']}",+12134446709,(213) 444-6709,5578.256679703665,$
JwOmKAfCpzJ3N14SPEw5UA,mariscos-el-guero-taco-truck-and-seafood-los-angeles-6,Mariscos El Guero Taco Truck & Seafood,https://s3-media1.fl.yelpcdn.com/bphoto/v43O47iwd6n9ayc7xiXaVg/o.jpg,False,https://www.yelp.com/biz/mariscos-el-guero-taco-truck-and-seafood-los-angeles-6?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,60,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 33.9596504070305, 'longitude': -118.390694095245}",['delivery'],"{'address1': '6000 W Manchester Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90045', 'country': 'US', 'state': 'CA', 'display_address': ['6000 W Manchester Ave', 'Los Angeles, CA 90045']}",+13233334740,(323) 333-4740,5320.981287698191,$
