id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
VbSOoZUSPGOF_YLUSuK98A,tacos-el-güerro-los-angeles-3,Tacos El Güerro,https://s3-media2.fl.yelpcdn.com/bphoto/VHupzWFh9FyVXsWanGg_sQ/o.jpg,False,https://www.yelp.com/biz/tacos-el-g%C3%BCerro-los-angeles-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,77,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 34.012313, 'longitude': -118.1590196}",[],$,"{'address1': '1414 S Atlantic Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90023', 'country': 'US', 'state': 'CA', 'display_address': ['1414 S Atlantic Blvd', 'Los Angeles, CA 90023']}",+13237073929,(323) 707-3929,8699.100911388992
5xFBQiB4Jcy9sI2fUHfcpg,mariscos-jalisco-los-angeles-3,Mariscos Jalisco,https://s3-media2.fl.yelpcdn.com/bphoto/YEx7QdaNiQmOhdvD4K50qA/o.jpg,False,https://www.yelp.com/biz/mariscos-jalisco-los-angeles-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,945,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.02089, 'longitude': -118.21287}",['delivery'],$,"{'address1': '3040 E Olympic Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90023', 'country': 'US', 'state': 'CA', 'display_address': ['3040 E Olympic Blvd', 'Los Angeles, CA 90023']}",+13235286701,(323) 528-6701,11957.957072851585
Y-_k59vyC5MgrLTTBJc7Vg,crepes-gone-wild-east-los-angeles-2,Crepes gone Wild,https://s3-media2.fl.yelpcdn.com/bphoto/7AqLqGrTSuQMV3d3BHUX_A/o.jpg,False,https://www.yelp.com/biz/crepes-gone-wild-east-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,30,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'creperies', 'title': 'Creperies'}]",4.0,"{'latitude': 34.0170635508444, 'longitude': -118.141303549015}",['delivery'],$,"{'address1': '6027 Whittier Blvd', 'address2': '', 'address3': None, 'city': 'East Los Angeles', 'zip_code': '90022', 'country': 'US', 'state': 'CA', 'display_address': ['6027 Whittier Blvd', 'East Los Angeles, CA 90022']}",+13234435857,(323) 443-5857,8882.665743920727
xh7pJDHx8iyOs3t3Lt6gtw,churros-don-abel-whittier,Churros Don Abel,https://s3-media2.fl.yelpcdn.com/bphoto/yJUkURqkZu5dl61H4Bhe8A/o.jpg,False,https://www.yelp.com/biz/churros-don-abel-whittier?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,50,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 33.9763526916504, 'longitude': -118.072242736816}",[],$,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Whittier', 'zip_code': '90606', 'country': 'US', 'state': 'CA', 'display_address': ['Whittier, CA 90606']}",+13237229366,(323) 722-9366,6707.0040632831915
bx98Nr15LUBntgc9kqP15w,wings-n-waffles-los-angeles,Wings N Waffles,https://s3-media1.fl.yelpcdn.com/bphoto/mGOA6D-PIKdCqhVLa1NCRA/o.jpg,False,https://www.yelp.com/biz/wings-n-waffles-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,97,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 34.05814, 'longitude': -118.24666}",[],$,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",+18187380469,(818) 738-0469,17612.014855389272
8XYOqoNOikMM5DCQJuF2eA,tacos-a-cabron-east-los-angeles,Tacos a Cabron,https://s3-media1.fl.yelpcdn.com/bphoto/ons2H84Wr5-j4ocVA-Bj0w/o.jpg,False,https://www.yelp.com/biz/tacos-a-cabron-east-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,13,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.01783, 'longitude': -118.15845}",[],,"{'address1': '1017 S Atlantic', 'address2': '', 'address3': None, 'city': 'East Los Angeles', 'zip_code': '90022', 'country': 'US', 'state': 'CA', 'display_address': ['1017 S Atlantic', 'East Los Angeles, CA 90022']}",+13234060606,(323) 406-0606,9280.34616245802
ynb42swXAm6n2IJjemTsbA,tacos-el-cacheton-compton-3,Tacos El Cacheton,https://s3-media4.fl.yelpcdn.com/bphoto/WseY0xAfeClGw__P76kMlw/o.jpg,False,https://www.yelp.com/biz/tacos-el-cacheton-compton-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,23,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 33.9033, 'longitude': -118.19317}",[],$,"{'address1': '4518 E Rosecrans Ave', 'address2': '', 'address3': None, 'city': 'Compton', 'zip_code': '90221', 'country': 'US', 'state': 'CA', 'display_address': ['4518 E Rosecrans Ave', 'Compton, CA 90221']}",+13235355477,(323) 535-5477,6902.997377636428
2bwNVIkBBEHV3j-EZZhbHA,not-your-mamas-kitchen-carson,Not Your Mamas Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/Q0hTHve7e0KbxvRI5FJn8g/o.jpg,False,https://www.yelp.com/biz/not-your-mamas-kitchen-carson?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,24,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 33.8316116333008, 'longitude': -118.262092590332}",[],$,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Carson', 'zip_code': '90221', 'country': 'US', 'state': 'CA', 'display_address': ['Carson, CA 90221']}",+14245356965,(424) 535-6965,8363.69281453665
Ajb0xvr3pG4XKTEC1XggIw,el-ruizeñor-huntington-park,El Ruizeñor,https://s3-media3.fl.yelpcdn.com/bphoto/bjlLWbWz9QOXCVrb9SeRsA/o.jpg,False,https://www.yelp.com/biz/el-ruize%C3%B1or-huntington-park?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",5.0,"{'latitude': 33.96729, 'longitude': -118.22548}",[],,"{'address1': '7837 Pacific Blvd', 'address2': '', 'address3': None, 'city': 'Huntington Park', 'zip_code': '90255', 'country': 'US', 'state': 'CA', 'display_address': ['7837 Pacific Blvd', 'Huntington Park, CA 90255']}",,,9337.10049434654
N-_ySUnohAQGMItCE318rA,pinch-of-flavor-los-angeles-2,Pinch of Flavor,https://s3-media4.fl.yelpcdn.com/bphoto/KVT8q4ix3c65kBOuOq-M1g/o.jpg,False,https://www.yelp.com/biz/pinch-of-flavor-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'poke', 'title': 'Poke'}]",4.5,"{'latitude': 34.06239, 'longitude': -118.30697}",['delivery'],,"{'address1': '3701 Wilshire Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90210', 'country': 'US', 'state': 'CA', 'display_address': ['3701 Wilshire Blvd', 'Los Angeles, CA 90210']}",+12138805513,(213) 880-5513,21354.63855590806
