id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
1SeCdGBjwEEO2MwJ7jPFeg,cousins-maine-lobster-los-angeles-los-angeles,Cousins Maine Lobster - Los Angeles,https://s3-media2.fl.yelpcdn.com/bphoto/ZcieicfixXGNdhL-enqZ9w/o.jpg,False,https://www.yelp.com/biz/cousins-maine-lobster-los-angeles-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,978,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 34.05682, 'longitude': -118.24387}",[],$$,"{'address1': '', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",+18558554265,(855) 855-4265,20271.56916924051
9ZxnEb6IaQVJ1nMiaUQF-A,the-garbage-truck-los-angeles,The Garbage Truck,https://s3-media4.fl.yelpcdn.com/bphoto/qtBEegQhjyL0mLVMNfVPtw/o.jpg,False,https://www.yelp.com/biz/the-garbage-truck-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,79,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]",3.5,"{'latitude': 33.97908, 'longitude': -118.25009}",[],$,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90001', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90001']}",+14242350089,(424) 235-0089,10453.754181657703
8cgsyw2624eEvGRm4mT5MQ,tacos-mancillas-torrance,Tacos Mancillas,https://s3-media2.fl.yelpcdn.com/bphoto/yFRar7a1DPwfBPv2tA-qFw/o.jpg,False,https://www.yelp.com/biz/tacos-mancillas-torrance?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 33.878092, 'longitude': -118.34032}",[],,"{'address1': '3846 Redondo Beach Blvd', 'address2': None, 'address3': '', 'city': 'Torrance', 'zip_code': '90504', 'country': 'US', 'state': 'CA', 'display_address': ['3846 Redondo Beach Blvd', 'Torrance, CA 90504']}",+13109302226,(310) 930-2226,3236.6212127606823
TNBTXwVZ6yBKlFPuIpvlFw,kikes-tacos-lennox-2,Kike's Tacos,https://s3-media4.fl.yelpcdn.com/bphoto/l9dBpfeqqyC1YN6vTJZYtA/o.jpg,False,https://www.yelp.com/biz/kikes-tacos-lennox-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,52,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 33.9394353, 'longitude': -118.3612401}",['delivery'],$,"{'address1': '10618 S Inglewood Ave', 'address2': None, 'address3': '', 'city': 'Lennox', 'zip_code': '90304', 'country': 'US', 'state': 'CA', 'display_address': ['10618 S Inglewood Ave', 'Lennox, CA 90304']}",+13108902977,(310) 890-2977,7209.1693520939725
xInbYfhJbFlSMJ65mPerXA,got-paella-los-angeles-2,GOT PAELLA,https://s3-media4.fl.yelpcdn.com/bphoto/d5L3cxZoBzFCsSunOHE8fw/o.jpg,False,https://www.yelp.com/biz/got-paella-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,24,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 34.0524482727051, 'longitude': -118.255325317383}",[],,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90071', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90071']}",+13108011561,(310) 801-1561,18670.12540715652
ue-dW9901eQYUkOmdBwehQ,bad-hombre-tacos-los-angeles,Bad Hombre Tacos,https://s3-media1.fl.yelpcdn.com/bphoto/6efrFT7tAGLI81r3jBbPvw/o.jpg,False,https://www.yelp.com/biz/bad-hombre-tacos-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,37,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 33.9599740987599, 'longitude': -118.39732950819}","['pickup', 'delivery']",,"{'address1': '6320 W Manchester Ave', 'address2': None, 'address3': None, 'city': 'Los Angeles', 'zip_code': '90045', 'country': 'US', 'state': 'CA', 'display_address': ['6320 W Manchester Ave', 'Los Angeles, CA 90045']}",+13109913239,(310) 991-3239,11173.559178544388
dvRoSS5y3-zuNsnQdRf49w,postcards-central-american-soul-food-los-angeles,Postcards Central American Soul Food,https://s3-media4.fl.yelpcdn.com/bphoto/uC7Bp5BE2IYmXoJ4UBiK-g/o.jpg,False,https://www.yelp.com/biz/postcards-central-american-soul-food-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,128,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.5,"{'latitude': 34.0387725830078, 'longitude': -118.26114654541}","['pickup', 'delivery']",$$,"{'address1': '', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90015', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90015']}",+13108010441,(310) 801-0441,16879.283852421446
JoSJ6ZyS2S-KkpZq8Z2GLQ,taco-dollar-inglewood,Taco Dollar,https://s3-media3.fl.yelpcdn.com/bphoto/Q8-hhtSoNeEWgd9GFbj6Bg/o.jpg,False,https://www.yelp.com/biz/taco-dollar-inglewood?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,210,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 33.9367154381471, 'longitude': -118.35299950093}",['delivery'],$,"{'address1': '10909 Hawthorne Blvd', 'address2': '', 'address3': None, 'city': 'Inglewood', 'zip_code': '90304', 'country': 'US', 'state': 'CA', 'display_address': ['10909 Hawthorne Blvd', 'Inglewood, CA 90304']}",,,6486.190313663715
FovIDYuBLR_ammOG9UE1cg,tacos-y-mariscos-el-jalapeno-carson-ca,tacos y mariscos el jalapeno,https://s3-media2.fl.yelpcdn.com/bphoto/9QbPumxkFQGNPFhE4zU0Gg/o.jpg,False,https://www.yelp.com/biz/tacos-y-mariscos-el-jalapeno-carson-ca?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.0,"{'latitude': 33.8428751699845, 'longitude': -118.223465234041}",[],,"{'address1': '20642-20810', 'address2': 'fordyce Ave', 'address3': None, 'city': 'Carson Ca.', 'zip_code': '90810', 'country': 'US', 'state': 'CA', 'display_address': ['20642-20810', 'fordyce Ave', 'Carson Ca., CA 90810']}",+15622127209,(562) 212-7209,9554.392239395589
2uISFQHKKLPmF27myEX2rA,fries-first-los-angeles,Fries First,https://s3-media2.fl.yelpcdn.com/bphoto/1kshTJRqRY4BKK2nTaC45w/o.jpg,False,https://www.yelp.com/biz/fries-first-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,25,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'gourmet', 'title': 'Specialty Food'}]",5.0,"{'latitude': 34.05349, 'longitude': -118.24532}",[],$$,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA']}",+15102130780,(510) 213-0780,18891.38572629478
