id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
HVR_EwGPUSkEdFwJXqrdiQ,profound-pizza-west-covina,Profound Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/Ouhcse6u4TUT3V8oiIWtQA/o.jpg,False,https://www.yelp.com/biz/profound-pizza-west-covina?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.07108, 'longitude': -117.93667}",[],"{'address1': '', 'address2': None, 'address3': '', 'city': 'West Covina', 'zip_code': '91790', 'country': 'US', 'state': 'CA', 'display_address': ['West Covina, CA 91790']}",+16263886111,(626) 388-6111,10274.790934816665,
_FTILG_9BHwCHtsH6Jygag,checos-tacos-bar-covina,Checos Tacos Bar,https://s3-media2.fl.yelpcdn.com/bphoto/KGC9d2cCooii6uNRMcQKeg/o.jpg,False,https://www.yelp.com/biz/checos-tacos-bar-covina?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,11,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.0896358527288, 'longitude': -117.934447080043}",[],"{'address1': '15942 E San Bernardino Rd', 'address2': '', 'address3': '', 'city': 'Covina', 'zip_code': '91722', 'country': 'US', 'state': 'CA', 'display_address': ['15942 E San Bernardino Rd', 'Covina, CA 91722']}",+16262744301,(626) 274-4301,8102.852922313119,$
PxXFf3ZSK6gm3r-PZOFYqg,taco-grill-glendora,Taco Grill,https://s3-media1.fl.yelpcdn.com/bphoto/kQd1cxfY2QbMbxXmBsalmg/o.jpg,False,https://www.yelp.com/biz/taco-grill-glendora?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,609,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 34.121622, 'longitude': -117.872037}","['delivery', 'pickup']","{'address1': '537 W Baseline Rd', 'address2': None, 'address3': '', 'city': 'Glendora', 'zip_code': '91740', 'country': 'US', 'state': 'CA', 'display_address': ['537 W Baseline Rd', 'Glendora, CA 91740']}",+16269144949,(626) 914-4949,1355.4394954951936,$
_g1eQaa95snVMW0xOINbYA,el-padrino-tacos-fontana,El Padrino Tacos,https://s3-media2.fl.yelpcdn.com/bphoto/KhG4PDyx7zWJ54UUXSqL6A/o.jpg,False,https://www.yelp.com/biz/el-padrino-tacos-fontana?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,2,"[{'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.08707, 'longitude': -117.46411}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Fontana', 'zip_code': '92335', 'country': 'US', 'state': 'CA', 'display_address': ['Fontana, CA 92335']}",+19095443329,(909) 544-3329,36330.497905690856,
bx98Nr15LUBntgc9kqP15w,wings-n-waffles-los-angeles,Wings N Waffles,https://s3-media1.fl.yelpcdn.com/bphoto/mGOA6D-PIKdCqhVLa1NCRA/o.jpg,False,https://www.yelp.com/biz/wings-n-waffles-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,97,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 34.05814, 'longitude': -118.24666}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",+18187380469,(818) 738-0469,36126.97555234103,$
e5khpYuUqjDTfajRboJFpQ,sweet-suite-dessert-covina,Sweet Suite Dessert,https://s3-media2.fl.yelpcdn.com/bphoto/PKMVU_nDvHv0acCUQtzG8A/o.jpg,False,https://www.yelp.com/biz/sweet-suite-dessert-covina?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,10,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 34.09585, 'longitude': -117.91074}",[],"{'address1': None, 'address2': None, 'address3': None, 'city': 'Covina', 'zip_code': '91722', 'country': 'US', 'state': 'CA', 'display_address': ['Covina, CA 91722']}",+16269220505,(626) 922-0505,5709.990220723474,$$
B0QtdB3dPo_SiE1Fovzjog,emannuels-catering-azusa,Emannuels Catering,https://s3-media3.fl.yelpcdn.com/bphoto/wN3oN5239zkF4tnprm2nkA/o.jpg,False,https://www.yelp.com/biz/emannuels-catering-azusa?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.0,"{'latitude': 34.1066847423459, 'longitude': -117.896384409655}",[],"{'address1': '701 E Arrow Hwy', 'address2': '', 'address3': None, 'city': 'Azusa', 'zip_code': '91702', 'country': 'US', 'state': 'CA', 'display_address': ['701 E Arrow Hwy', 'Azusa, CA 91702']}",,,4123.309745058282,
MaMcWQp1PjAgW_bXjViSVg,the-feeding-frenzy-tustin-2,The Feeding Frenzy,https://s3-media1.fl.yelpcdn.com/bphoto/AmZLFRKFAW-KqQKKbORE4Q/o.jpg,False,https://www.yelp.com/biz/the-feeding-frenzy-tustin-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,10,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 33.73095, 'longitude': -117.81275}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Tustin', 'zip_code': '92780', 'country': 'US', 'state': 'CA', 'display_address': ['Tustin, CA 92780']}",+17146978016,(714) 697-8016,43493.16418230184,$
hNIpIOUZplL_xSlgWeCBsg,the-lime-truck-irvine-3,The Lime Truck,https://s3-media3.fl.yelpcdn.com/bphoto/TkdK0mbyDiDqw8PCN47ZlQ/o.jpg,False,https://www.yelp.com/biz/the-lime-truck-irvine-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,780,"[{'alias': 'catering', 'title': 'Caterers'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 33.6511684580308, 'longitude': -117.742817738291}",[],"{'address1': '16211 Construction Cir W', 'address2': '', 'address3': '', 'city': 'Irvine', 'zip_code': '92606', 'country': 'US', 'state': 'CA', 'display_address': ['16211 Construction Cir W', 'Irvine, CA 92606']}",+19492320690,(949) 232-0690,53931.74548694396,$
ZhfgLXNNb2iZGQ5yntQ75A,chinese-laundry-los-angeles-7,Chinese Laundry,https://s3-media2.fl.yelpcdn.com/bphoto/Iyrza1wsog1_Y11Viz7oVg/o.jpg,False,https://www.yelp.com/biz/chinese-laundry-los-angeles-7?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,60,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,"{'latitude': 34.06757, 'longitude': -118.24115}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",+16198656807,(619) 865-6807,36126.97555234103,$
