id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
8Xv1BKnnAhVfuevISAXwyQ,grill-fellas-catering-whittier-3,Grill Fella's Catering,https://s3-media3.fl.yelpcdn.com/bphoto/dTi2zHVV9nu_SqTAVv1iXQ/o.jpg,False,https://www.yelp.com/biz/grill-fellas-catering-whittier-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,45,"[{'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 33.9258, 'longitude': -118.03877}",[],"{'address1': '11617 Marquardt Ave', 'address2': '', 'address3': '', 'city': 'Whittier', 'zip_code': '90605', 'country': 'US', 'state': 'CA', 'display_address': ['11617 Marquardt Ave', 'Whittier, CA 90605']}",+15626594641,(562) 659-4641,3804.0585586132675,
vAu30IlgaulYeEnQ3rr4BQ,tacos-el-compa-buena-park-2,Tacos El Compa,https://s3-media3.fl.yelpcdn.com/bphoto/b650ujYPSzCvV1GQIgJ1HA/o.jpg,False,https://www.yelp.com/biz/tacos-el-compa-buena-park-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,9,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",5.0,"{'latitude': 33.8353077018462, 'longitude': -118.010369762778}",[],"{'address1': '7051 Monroe Ave', 'address2': '', 'address3': None, 'city': 'Buena Park', 'zip_code': '90620', 'country': 'US', 'state': 'CA', 'display_address': ['7051 Monroe Ave', 'Buena Park, CA 90620']}",+17145012192,(714) 501-2192,7648.885753042745,
0S_wo1Tm7RtLnPzlgH4Z6Q,belly-bombz-food-truck-long-beach-3,Belly Bombz Food Truck,https://s3-media2.fl.yelpcdn.com/bphoto/_1Xu4yEZrCCbNWU5E6nCJQ/o.jpg,False,https://www.yelp.com/biz/belly-bombz-food-truck-long-beach-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,227,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 33.7827453613281, 'longitude': -118.161155700684}","['delivery', 'pickup']","{'address1': '', 'address2': '', 'address3': '', 'city': 'Long Beach', 'zip_code': '90804', 'country': 'US', 'state': 'CA', 'display_address': ['Long Beach, CA 90804']}",+13238348229,(323) 834-8229,19068.290048634364,$$
8Gt7cKTpg-RB55Lsb39q_g,wings-on-wheels-anaheim,Wings On Wheels,https://s3-media3.fl.yelpcdn.com/bphoto/TupU6v7F-4BU0toniMbq3w/o.jpg,False,https://www.yelp.com/biz/wings-on-wheels-anaheim?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,3,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.0,"{'latitude': 33.8339895, 'longitude': -117.9156345}",[],"{'address1': '201 W Center St', 'address2': None, 'address3': '', 'city': 'Anaheim', 'zip_code': '92805', 'country': 'US', 'state': 'CA', 'display_address': ['201 W Center St', 'Anaheim, CA 92805']}",+16579007785,(657) 900-7785,11447.337959733102,
vhcEKnoIWAGw4I_mfElH-g,tacos-exclusivos-whittier,Tacos Exclusivos,https://s3-media3.fl.yelpcdn.com/bphoto/yBPQsx-tC_rOmHNQ6Za8Og/o.jpg,False,https://www.yelp.com/biz/tacos-exclusivos-whittier?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",5.0,"{'latitude': 33.9209473153, 'longitude': -118.037616473}",[],"{'address1': '13800 Leffingwell Rd', 'address2': None, 'address3': '', 'city': 'Whittier', 'zip_code': '90604', 'country': 'US', 'state': 'CA', 'display_address': ['13800 Leffingwell Rd', 'Whittier, CA 90604']}",+13238186426,(323) 818-6426,3401.81254316393,
-UYmBn6yG6vyKqvViasTsg,fat-boys-arcadia-2,Fat Boys,https://s3-media4.fl.yelpcdn.com/bphoto/rFlxj9OL1tBUCierOR6KrA/o.jpg,False,https://www.yelp.com/biz/fat-boys-arcadia-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",5.0,"{'latitude': 34.142691, 'longitude': -118.024493}",[],"{'address1': '', 'address2': '', 'address3': None, 'city': 'Arcadia', 'zip_code': '91006', 'country': 'US', 'state': 'CA', 'display_address': ['Arcadia, CA 91006']}",+16263724627,(626) 372-4627,26586.763819603795,
gy3EZpAO54hHwmP3ufyuiA,chicana-vegana-fullerton-4,Chicana Vegana,https://s3-media2.fl.yelpcdn.com/bphoto/jcFsudrQEu8uTizkzZMcig/o.jpg,False,https://www.yelp.com/biz/chicana-vegana-fullerton-4?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,169,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 33.8706137, 'longitude': -117.9236991}",[],"{'address1': '113 E Commonwealth Ave', 'address2': '', 'address3': '', 'city': 'Fullerton', 'zip_code': '92832', 'country': 'US', 'state': 'CA', 'display_address': ['113 E Commonwealth Ave', 'Fullerton, CA 92832']}",+17145193380,(714) 519-3380,8531.660286685808,
I7bhkSLYCH0UVLJsgiXSBg,shawarma-plus-la-truck-anaheim,Shawarma Plus LA Truck,https://s3-media2.fl.yelpcdn.com/bphoto/RsuA15RtLWPaokRKdNaOlg/o.jpg,False,https://www.yelp.com/biz/shawarma-plus-la-truck-anaheim?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,11,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"{'latitude': 33.827577, 'longitude': -117.959543}",[],"{'address1': '401 S Brookhurst St', 'address2': '', 'address3': None, 'city': 'Anaheim', 'zip_code': '92804', 'country': 'US', 'state': 'CA', 'display_address': ['401 S Brookhurst St', 'Anaheim, CA 92804']}",+17144005365,(714) 400-5365,9560.140346818658,
kL7jsXFpDxMvg2aiNzkPPg,la-mobile-catering-whittier,LA Mobile Catering,https://s3-media4.fl.yelpcdn.com/bphoto/A5d9wfpsCyEwZyrgpy6rTw/o.jpg,False,https://www.yelp.com/biz/la-mobile-catering-whittier?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,29,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 33.9171749, 'longitude': -118.0482739}",['delivery'],"{'address1': '13315 Imperial Hwy', 'address2': None, 'address3': '', 'city': 'Whittier', 'zip_code': '90605', 'country': 'US', 'state': 'CA', 'display_address': ['13315 Imperial Hwy', 'Whittier, CA 90605']}",+15629419000,(562) 941-9000,4103.916440889695,$
QIiRfBvC5VbA93rO5jVXOA,cousins-maine-lobster-orange-county-orange,Cousins Maine Lobster - Orange County,https://s3-media3.fl.yelpcdn.com/bphoto/hiAj3V1hbLPsJVxQHKoRWw/o.jpg,False,https://www.yelp.com/biz/cousins-maine-lobster-orange-county-orange?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,112,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 33.78851, 'longitude': -117.86955}",[],"{'address1': None, 'address2': None, 'address3': None, 'city': 'Orange', 'zip_code': '92868', 'country': 'US', 'state': 'CA', 'display_address': ['Orange, CA 92868']}",+17146021123,(714) 602-1123,17852.235753405268,$$
