id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
WiTMRukKmLARoEoKdrV6Qg,okamoto-kitchen-los-angeles-2,Okamoto Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/8XtkG9NJgf3cZ1doXwsL0A/o.jpg,False,https://www.yelp.com/biz/okamoto-kitchen-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,513,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,"{'latitude': 34.1463062227897, 'longitude': -118.425396788406}","['pickup', 'delivery']",$$,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '91423', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 91423']}",+18183739767,(818) 373-9767,59957.05971410933
IcVAGTh5Luqo4ONMmLlYpQ,the-steamin-burger-los-angeles,The Steamin' Burger,https://s3-media1.fl.yelpcdn.com/bphoto/j1jFkoJP63KYoQeP0oxNIg/o.jpg,False,https://www.yelp.com/biz/the-steamin-burger-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.03198, 'longitude': -118.2442}",[],,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90021', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90021']}",+13233745747,(323) 374-5747,43954.59037396617
ZhfgLXNNb2iZGQ5yntQ75A,chinese-laundry-los-angeles-7,Chinese Laundry,https://s3-media2.fl.yelpcdn.com/bphoto/Iyrza1wsog1_Y11Viz7oVg/o.jpg,False,https://www.yelp.com/biz/chinese-laundry-los-angeles-7?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,60,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,"{'latitude': 34.06757, 'longitude': -118.24115}",[],$,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",+16198656807,(619) 865-6807,43729.07265071544
Qu2HgfgCMm0tr9hyMM6zhw,craftsman-catering-placentia-2,Craftsman Catering,https://s3-media4.fl.yelpcdn.com/bphoto/BsxqhrXJSTjGTTMFUSUR3g/o.jpg,False,https://www.yelp.com/biz/craftsman-catering-placentia-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,7,"[{'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 33.882678, 'longitude': -117.860828}",[],,"{'address1': '1114 Cypress Point Dr', 'address2': None, 'address3': None, 'city': 'Placentia', 'zip_code': '92870', 'country': 'US', 'state': 'CA', 'display_address': ['1114 Cypress Point Dr', 'Placentia, CA 92870']}",+17145791777,(714) 579-1777,28082.295984352524
z4cO-3VnxXO13jOlqux9IA,the-angry-shrimp-fontana-3,The Angry Shrimp,https://s3-media1.fl.yelpcdn.com/bphoto/E4X-Tv9AMjxIiiqVdEdVBw/o.jpg,False,https://www.yelp.com/biz/the-angry-shrimp-fontana-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,13,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]",2.5,"{'latitude': 34.10261, 'longitude': -117.43576}",[],$$,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Fontana', 'zip_code': '92802', 'country': 'US', 'state': 'CA', 'display_address': ['Fontana, CA 92802']}",+19099914710,(909) 991-4710,31459.209808688196
umYtjrfYeKdFwH9rIoBCLQ,jinza-teriyaki-pomona,Jinza Teriyaki,https://s3-media3.fl.yelpcdn.com/bphoto/wVsjx5qsPdDAD_sbZTWy0w/o.jpg,False,https://www.yelp.com/biz/jinza-teriyaki-pomona?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,480,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",4.5,"{'latitude': 34.0468669, 'longitude': -117.8115346}",['delivery'],$,"{'address1': '3425 Pomona Blvd', 'address2': 'Ste 1', 'address3': '', 'city': 'Pomona', 'zip_code': '91768', 'country': 'US', 'state': 'CA', 'display_address': ['3425 Pomona Blvd', 'Ste 1', 'Pomona, CA 91768']}",+19095951135,(909) 595-1135,9287.419891075466
CEe6JhC6S-Zbe7Ef0sZbMQ,tikiz-of-riverside-and-corona-norco,Tikiz of Riverside & Corona,https://s3-media3.fl.yelpcdn.com/bphoto/Qs3wiSKsmx-sXAW14A0Zog/o.jpg,False,https://www.yelp.com/biz/tikiz-of-riverside-and-corona-norco?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,7,"[{'alias': 'shavedice', 'title': 'Shaved Ice'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",5.0,"{'latitude': 33.9243659973145, 'longitude': -117.556991577148}",[],,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Norco', 'zip_code': '92860', 'country': 'US', 'state': 'CA', 'display_address': ['Norco, CA 92860']}",+18559519510,(855) 951-9510,31326.47926568189
Yg5ZnvRtBxtotncl60KzVg,baabang-bangin-grub-n-stuff-anaheim-5,Baabang: Bangin Grub N' Stuff,https://s3-media3.fl.yelpcdn.com/bphoto/ydJnVfrqJ_6AtBIiU_h9zg/o.jpg,False,https://www.yelp.com/biz/baabang-bangin-grub-n-stuff-anaheim-5?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,6,"[{'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 33.84367, 'longitude': -117.94299}",[],,"{'address1': '', 'address2': None, 'address3': '', 'city': 'Anaheim', 'zip_code': '92801', 'country': 'US', 'state': 'CA', 'display_address': ['Anaheim, CA 92801']}",+17146037751,(714) 603-7751,35062.24868911648
oKV-aXDXIEwbZa_rK_Vawg,kebabology-irvine-4,Kebabology,https://s3-media1.fl.yelpcdn.com/bphoto/QmKZREplMMdOk1ttoVCFXw/o.jpg,False,https://www.yelp.com/biz/kebabology-irvine-4?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,26,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 33.6962072, 'longitude': -117.8221633}",[],,"{'address1': '16221 Construction Cr', 'address2': None, 'address3': '', 'city': 'Irvine', 'zip_code': '92618', 'country': 'US', 'state': 'CA', 'display_address': ['16221 Construction Cr', 'Irvine, CA 92618']}",+17147450445,(714) 745-0445,47867.682789150946
uJUVrZGEZ-mPudAFLzeCjg,chef-cs-smhokin-pot-hawthorne-24,Chef C's Smhokin Pot,https://s3-media4.fl.yelpcdn.com/bphoto/b7p5JA1swQoleuw7E0wzvw/o.jpg,False,https://www.yelp.com/biz/chef-cs-smhokin-pot-hawthorne-24?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,91,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'southern', 'title': 'Southern'}]",3.5,"{'latitude': 33.916859, 'longitude': -118.333507}","['pickup', 'delivery']",$$,"{'address1': None, 'address2': None, 'address3': None, 'city': 'Hawthorne', 'zip_code': '90250', 'country': 'US', 'state': 'CA', 'display_address': ['Hawthorne, CA 90250']}",+13102832029,(310) 283-2029,56475.673908009325
