id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
PQ5HIaXsNU71btSPlp290Q,la-bagels-food-truck-los-angeles,LA Bagels Food Truck,https://s3-media1.fl.yelpcdn.com/bphoto/lVBbHXcGQcLBIB9z4CNhpw/o.jpg,False,https://www.yelp.com/biz/la-bagels-food-truck-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,9,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 34.08002, 'longitude': -118.26925}",[],"{'address1': '2511 W Sunset Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90026', 'country': 'US', 'state': 'CA', 'display_address': ['2511 W Sunset Blvd', 'Los Angeles, CA 90026']}",,,5208.699783171386,
2khSqnrat_mPumkl2zhxtw,steamy-bun-truck-los-angeles,Steamy Bun Truck,https://s3-media1.fl.yelpcdn.com/bphoto/bG4oaNl50kcUiM_vxgIawA/o.jpg,False,https://www.yelp.com/biz/steamy-bun-truck-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,80,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.052187, 'longitude': -118.243425}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90064']}",+18185703667,(818) 570-3667,7257.202405783415,$
FO9oyAKiKifpTEgw2wo71A,jogasaki-sushi-burrito-los-angeles,Jogasaki Sushi Burrito,https://s3-media3.fl.yelpcdn.com/bphoto/V4hjiHPf06r9Ey5rhKPVSw/o.jpg,False,https://www.yelp.com/biz/jogasaki-sushi-burrito-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,37,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.0534896850586, 'longitude': -118.245323181152}",[],"{'address1': '', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA']}",,,7064.227166922868,$$
QmkcjISaVPchFil1BTxrtQ,el-flamin-taco-los-angeles-13,El Flamin' Taco,https://s3-media4.fl.yelpcdn.com/bphoto/9Ki-dLjs9r9dnBhNJVyKAQ/o.jpg,False,https://www.yelp.com/biz/el-flamin-taco-los-angeles-13?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,725,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.06505, 'longitude': -118.29207}",[],"{'address1': '505 S Vermont Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90020', 'country': 'US', 'state': 'CA', 'display_address': ['505 S Vermont Ave', 'Los Angeles, CA 90020']}",+12134149398,(213) 414-9398,2729.6820198767145,$
4IOkim0jLGwECJQeA8N4xg,8e8-thai-street-food-los-angeles,8E8 Thai Street Food,https://s3-media2.fl.yelpcdn.com/bphoto/F1YaKSboyzrDB9KWBG5ovg/o.jpg,False,https://www.yelp.com/biz/8e8-thai-street-food-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,38,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'thai', 'title': 'Thai'}]",5.0,"{'latitude': 33.9888881, 'longitude': -118.2708026}",[],"{'address1': '', 'address2': None, 'address3': None, 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90013']}",+18186428885,(818) 642-8885,9331.536158898874,
5CdTvmwsOIXOBKSbZPCNBg,aji-teppanyaki-los-angeles-2,Aji Teppanyaki,https://s3-media1.fl.yelpcdn.com/bphoto/WWzaYYpW2s9rLuzWPNNb9Q/o.jpg,False,https://www.yelp.com/biz/aji-teppanyaki-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,43,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'teppanyaki', 'title': 'Teppanyaki'}]",4.0,"{'latitude': 34.3097432, 'longitude': -118.4335721}","['delivery', 'pickup']","{'address1': '13788 Foothill Blvd', 'address2': None, 'address3': None, 'city': 'Los Angeles', 'zip_code': '91601', 'country': 'US', 'state': 'CA', 'display_address': ['13788 Foothill Blvd', 'Los Angeles, CA 91601']}",+18185156778,(818) 515-6778,29459.98713370618,$$
1ON2XXttBB7k5Z5LvZrVlw,billionaire-burger-boyz-compton,Billionaire Burger Boyz,https://s3-media2.fl.yelpcdn.com/bphoto/eKEAzBJCmwM7RCRL0JgNqw/o.jpg,False,https://www.yelp.com/biz/billionaire-burger-boyz-compton?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,292,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 33.8893305, 'longitude': -118.2074657}","['delivery', 'pickup']","{'address1': '811 S Long Beach Blvd', 'address2': None, 'address3': '', 'city': 'Compton', 'zip_code': '90221', 'country': 'US', 'state': 'CA', 'display_address': ['811 S Long Beach Blvd', 'Compton, CA 90221']}",+13105544116,(310) 554-4116,21845.514330272195,$$
BdMGcCmhBsjsivdixQHWmw,the-triple-threat-truck-los-angeles,The Triple Threat Truck,https://s3-media1.fl.yelpcdn.com/bphoto/4wumzQ5Jvp9QrneHoLFF4Q/o.jpg,False,https://www.yelp.com/biz/the-triple-threat-truck-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,149,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}]",3.5,"{'latitude': 34.1580543518066, 'longitude': -118.512672424316}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '91316', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 91316']}",+13235076404,(323) 507-6404,20866.501744402678,$
Bxi1LwBpLceQ6Vl3ppB9-g,street-kitchen-hollywood,Street Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/OD5qQrBsLSsNAFgamQJJsg/o.jpg,False,https://www.yelp.com/biz/street-kitchen-hollywood?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,223,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.0998, 'longitude': -118.32648}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'Hollywood', 'zip_code': '90028', 'country': 'US', 'state': 'CA', 'display_address': ['Hollywood, CA 90028']}",+13235162808,(323) 516-2808,4424.733221753789,$$
MMk7S8KK0PZazaQXlJkYbg,rockin-hot-chick-un-los-angeles-4,Rockin Hot Chick-un,https://s3-media4.fl.yelpcdn.com/bphoto/LwJHOeaQ6EBgGosJcSBHDw/o.jpg,False,https://www.yelp.com/biz/rockin-hot-chick-un-los-angeles-4?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,54,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.12086, 'longitude': -118.20525}","['delivery', 'pickup']","{'address1': '5050 York Blvd', 'address2': None, 'address3': None, 'city': 'Los Angeles', 'zip_code': '90042', 'country': 'US', 'state': 'CA', 'display_address': ['5050 York Blvd', 'Los Angeles, CA 90042']}",+13232437715,(323) 243-7715,12559.497794930334,
