id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
MaMcWQp1PjAgW_bXjViSVg,the-feeding-frenzy-tustin-2,The Feeding Frenzy,https://s3-media1.fl.yelpcdn.com/bphoto/AmZLFRKFAW-KqQKKbORE4Q/o.jpg,False,https://www.yelp.com/biz/the-feeding-frenzy-tustin-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,10,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 33.73095, 'longitude': -117.81275}",[],$,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Tustin', 'zip_code': '92780', 'country': 'US', 'state': 'CA', 'display_address': ['Tustin, CA 92780']}",+17146978016,(714) 697-8016,48547.062888834946
l62XneCTj-JPSUbL_tc5QA,taqueria-metro-basilica-west-covina-2,Taqueria Metro Basilica,https://s3-media2.fl.yelpcdn.com/bphoto/_Qa7qefkldpaP2dd7sORGw/o.jpg,False,https://www.yelp.com/biz/taqueria-metro-basilica-west-covina-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,53,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 34.068665, 'longitude': -117.926758}",['delivery'],$,"{'address1': '310 S Vincent Ave', 'address2': '', 'address3': None, 'city': 'West Covina', 'zip_code': '91790', 'country': 'US', 'state': 'CA', 'display_address': ['310 S Vincent Ave', 'West Covina, CA 91790']}",+16268905852,(626) 890-5852,11126.587916302802
W8TjgA85CHxtC3YCWVjbdA,ms-crab-boil-lady-lancaster-2,Ms Crab Boil Lady,https://s3-media3.fl.yelpcdn.com/bphoto/nZbtEbLksd-ArXm1-XLNkw/o.jpg,False,https://www.yelp.com/biz/ms-crab-boil-lady-lancaster-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,2,"[{'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 34.7190322875977, 'longitude': -117.898902893066}",[],$$,"{'address1': '', 'address2': None, 'address3': '', 'city': 'Lancaster', 'zip_code': '93535', 'country': 'US', 'state': 'CA', 'display_address': ['Lancaster, CA 93535']}",+15629688938,(562) 968-8938,66462.43334550284
MkC6a_oZQk_sIev6ujWqxQ,tacos-el-mago-de-culiacan-sinaloa-rosemead,Tacos El Mago de Culiacan Sinaloa,https://s3-media1.fl.yelpcdn.com/bphoto/V8u7shUaKbC3yNjywkFiLA/o.jpg,False,https://www.yelp.com/biz/tacos-el-mago-de-culiacan-sinaloa-rosemead?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,42,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 34.0634198, 'longitude': -118.102895}",[],$,"{'address1': '7619 Garvey Ave', 'address2': None, 'address3': '', 'city': 'Rosemead', 'zip_code': '91770', 'country': 'US', 'state': 'CA', 'display_address': ['7619 Garvey Ave', 'Rosemead, CA 91770']}",+13236306234,(323) 630-6234,12466.886433618667
IAzVa3gaOGeIKttZqphD2g,teddys-red-tacos-los-angeles,Teddy's Red Tacos,https://s3-media4.fl.yelpcdn.com/bphoto/bJt65q2uNUkC94FclThn1g/o.jpg,False,https://www.yelp.com/biz/teddys-red-tacos-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,845,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.0,"{'latitude': 33.9894829, 'longitude': -118.262014}",['delivery'],$,"{'address1': '731 East Slauson Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90011', 'country': 'US', 'state': 'CA', 'display_address': ['731 East Slauson Ave', 'Los Angeles, CA 90011']}",+13234959654,(323) 495-9654,28997.665420565972
6DLse-2ZoXMJtHaM3uOd4w,tha-grub-plug-santa-ana,Tha Grub Plug,https://s3-media1.fl.yelpcdn.com/bphoto/JcO6lHQx26kX-RkRP79kFA/o.jpg,False,https://www.yelp.com/biz/tha-grub-plug-santa-ana?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,17,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 33.71427, 'longitude': -117.86933}",[],,"{'address1': '2419 S Broadway', 'address2': None, 'address3': '', 'city': 'Santa Ana', 'zip_code': '92707', 'country': 'US', 'state': 'CA', 'display_address': ['2419 S Broadway', 'Santa Ana, CA 92707']}",+19493428110,(949) 342-8110,49357.31378809152
ONMCZYTE0rJXxJd6tcG3Qg,ohana-hawaiian-poke-monrovia,Ohana Hawaiian Poke,https://s3-media3.fl.yelpcdn.com/bphoto/E_3GvlV02P-6boU--ZaHkg/o.jpg,False,https://www.yelp.com/biz/ohana-hawaiian-poke-monrovia?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,6,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'poke', 'title': 'Poke'}]",4.0,"{'latitude': 34.1431669782458, 'longitude': -118.000881783664}",[],$$,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Monrovia', 'zip_code': '91016', 'country': 'US', 'state': 'CA', 'display_address': ['Monrovia, CA 91016']}",+16268247889,(626) 824-7889,616.8875521352454
kfm9qAJf8nY6UJhSmg2cDA,camichft-covina-3,Camichft,https://s3-media2.fl.yelpcdn.com/bphoto/3fBKNP73F5qtsN-95S8xZQ/o.jpg,False,https://www.yelp.com/biz/camichft-covina-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,33,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,"{'latitude': 34.1069046702971, 'longitude': -117.913374714553}",['delivery'],,"{'address1': '17200 Arrow Hwy', 'address2': None, 'address3': '', 'city': 'Covina', 'zip_code': '91722', 'country': 'US', 'state': 'CA', 'display_address': ['17200 Arrow Hwy', 'Covina, CA 91722']}",+16264357451,(626) 435-7451,9558.207674384608
4cF21S-T9X66ixeHbyaEhA,little-hang-pasadena-4,Little Hang,https://s3-media2.fl.yelpcdn.com/bphoto/UklX2lMiUCqlQQigW5oT8Q/o.jpg,False,https://www.yelp.com/biz/little-hang-pasadena-4?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,5,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]",5.0,"{'latitude': 34.14595, 'longitude': -118.10085}",[],,"{'address1': '', 'address2': None, 'address3': '', 'city': 'Pasadena', 'zip_code': '91107', 'country': 'US', 'state': 'CA', 'display_address': ['Pasadena, CA 91107']}",+17145480574,(714) 548-0574,7328.918517478206
_U1tbTm_U_1vssoTvoFsdQ,big-grandmas-kitchen-altadena,Big Grandma's Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/XZAy0CeNAL5Yw8eEtw4ldw/o.jpg,False,https://www.yelp.com/biz/big-grandmas-kitchen-altadena?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,37,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.1849981, 'longitude': -118.1513044}",[],,"{'address1': '2283 N Fair Oaks Ave', 'address2': None, 'address3': '', 'city': 'Altadena', 'zip_code': '91001', 'country': 'US', 'state': 'CA', 'display_address': ['2283 N Fair Oaks Ave', 'Altadena, CA 91001']}",+16263543619,(626) 354-3619,14021.558651163805
