id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
uhgPzP1XZKrctb1-dNeppw,neapolitan-express-long-island-long-beach-5,Neapolitan Express Long Island,https://s3-media1.fl.yelpcdn.com/bphoto/SgXAUnx5nf2G12uUoeOsVQ/o.jpg,False,https://www.yelp.com/biz/neapolitan-express-long-island-long-beach-5?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,11,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'pizza', 'title': 'Pizza'}]",3.5,"{'latitude': 40.58372, 'longitude': -73.66132}",[],"{'address1': '1 Riverside Blvd', 'address2': None, 'address3': '', 'city': 'Long Beach', 'zip_code': '11561', 'country': 'US', 'state': 'NY', 'display_address': ['1 Riverside Blvd', 'Long Beach, NY 11561']}",+15162361018,(516) 236-1018,62557.29405626132,
cobsoQ4DW7LaytPd1NAfoQ,the-local-meatball-fairfield,The Local Meatball,https://s3-media2.fl.yelpcdn.com/bphoto/n73-QnU01maw_AsA-Obp3w/o.jpg,False,https://www.yelp.com/biz/the-local-meatball-fairfield?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,13,"[{'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 41.1745109558105, 'longitude': -73.2843017578125}",[],"{'address1': '', 'address2': None, 'address3': '', 'city': 'Fairfield', 'zip_code': '06824', 'country': 'US', 'state': 'CT', 'display_address': ['Fairfield, CT 06824']}",+12032586317,(203) 258-6317,14014.323689297407,
TaqQnwQ6cCU3zJWL0Q20fg,old-world-pizza-truck-new-haven,Old World Pizza Truck,https://s3-media3.fl.yelpcdn.com/bphoto/SMka7iBtxSBhjL76UQzSyg/o.jpg,False,https://www.yelp.com/biz/old-world-pizza-truck-new-haven?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,37,"[{'alias': 'catering', 'title': 'Caterers'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 41.3210968, 'longitude': -72.909132}",[],"{'address1': '163 Foster St', 'address2': '', 'address3': '', 'city': 'New Haven', 'zip_code': '06513', 'country': 'US', 'state': 'CT', 'display_address': ['163 Foster St', 'New Haven, CT 06513']}",+18773180336,(877) 318-0336,48338.36541053897,$$
Dju1iZXRAqQYXQIXXzyiAA,lukes-lobster-mobile-lobster-roll-food-truck-new-york,Luke's Lobster Mobile Lobster Roll Food Truck,https://s3-media1.fl.yelpcdn.com/bphoto/Dldocfu_2KUpLApF9FscRQ/o.jpg,False,https://www.yelp.com/biz/lukes-lobster-mobile-lobster-roll-food-truck-new-york?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,130,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 40.73124, 'longitude': -73.9888}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['New York, NY 10003']}",,,64040.714279181986,$$
zK0Pm8lRGsENJOzSlYOcDQ,rio-border-cafe-norwalk,Rio Border Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/uN-PfDP_nwtZse7eq2vXxg/o.jpg,False,https://www.yelp.com/biz/rio-border-cafe-norwalk?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,123,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.5,"{'latitude': 41.1024482114828, 'longitude': -73.438571680426}","['delivery', 'pickup']","{'address1': '330 Connecticut Ave', 'address2': '', 'address3': '', 'city': 'Norwalk', 'zip_code': '06854', 'country': 'US', 'state': 'CT', 'display_address': ['330 Connecticut Ave', 'Norwalk, CT 06854']}",+12038559577,(203) 855-9577,2226.369319987248,$$
6noa5zPmZLranaddD98gmQ,el-charrito-stamford-2,El Charrito,https://s3-media3.fl.yelpcdn.com/bphoto/Vrv9mxYpLGsuDW5ya_H34w/o.jpg,False,https://www.yelp.com/biz/el-charrito-stamford-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,72,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 41.056210038673, 'longitude': -73.5189799591899}","['delivery', 'pickup']","{'address1': '1019 E Main St', 'address2': '', 'address3': None, 'city': 'Stamford', 'zip_code': '06902', 'country': 'US', 'state': 'CT', 'display_address': ['1019 E Main St', 'Stamford, CT 06902']}",+12035881519,(203) 588-1519,10701.42659231712,$
oRiQQjJ6UrLsjnZ3ZesPMA,the-fried-kitchen-bronx,The Fried Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/ZW8J6OiS_VBUMMTaDNaj_g/o.jpg,False,https://www.yelp.com/biz/the-fried-kitchen-bronx?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 40.80732, 'longitude': -73.92005}",[],"{'address1': None, 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['Bronx, NY 10454']}",+19172327394,(917) 232-7394,54358.4672667769,
sdknKTEs5dCHB16dFnsKlQ,andys-italian-ices-nyc-new-york,Andy's Italian Ices NYC,https://s3-media2.fl.yelpcdn.com/bphoto/HjD8tmREwTAdif_LAajyTg/o.jpg,False,https://www.yelp.com/biz/andys-italian-ices-nyc-new-york?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,25,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,"{'latitude': 40.74127, 'longitude': -74.00142}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['New York, NY 10011']}",+15169727959,(516) 972-7959,64411.053190027196,$
UyovTjHl7rsHWalAuEb-IQ,bodega-taco-bar-darien,Bodega Taco Bar,https://s3-media2.fl.yelpcdn.com/bphoto/kQCIIonN3xiA7Kk8K3CI0Q/o.jpg,False,https://www.yelp.com/biz/bodega-taco-bar-darien?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,208,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 41.075981, 'longitude': -73.471069}",['delivery'],"{'address1': '980 Post Rd', 'address2': '', 'address3': '', 'city': 'Darien', 'zip_code': '06820', 'country': 'US', 'state': 'CT', 'display_address': ['980 Post Rd', 'Darien, CT 06820']}",+12036558500,(203) 655-8500,6223.030128747181,$$
yz7WnwFvtwA2s3AL4TNy0g,tequila-mockingbird-new-canaan,Tequila Mockingbird,https://s3-media1.fl.yelpcdn.com/bphoto/43Q_L8KImH9SK3ND1lB9ZQ/o.jpg,False,https://www.yelp.com/biz/tequila-mockingbird-new-canaan?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,106,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.5,"{'latitude': 41.1479811, 'longitude': -73.492235}","['delivery', 'pickup']","{'address1': '6 Forest St', 'address2': '', 'address3': '', 'city': 'New Canaan', 'zip_code': '06840', 'country': 'US', 'state': 'CT', 'display_address': ['6 Forest St', 'New Canaan, CT 06840']}",+12039662222,(203) 966-2222,7202.274721179234,$$
