id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
W5CFlktfBYbpp8_W-LT2PQ,dogzilla-irvine,Dogzilla,https://s3-media3.fl.yelpcdn.com/bphoto/J3JA-kCmQLKKavuKvopANw/o.jpg,False,https://www.yelp.com/biz/dogzilla-irvine?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,618,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 33.69621, 'longitude': -117.82236}",[],$,"{'address1': '16221 Construction Cir W', 'address2': '', 'address3': '', 'city': 'Irvine', 'zip_code': '92606', 'country': 'US', 'state': 'CA', 'display_address': ['16221 Construction Cir W', 'Irvine, CA 92606']}",+17148058857,(714) 805-8857,42206.52753047356
l62XneCTj-JPSUbL_tc5QA,taqueria-metro-basilica-west-covina-2,Taqueria Metro Basilica,https://s3-media2.fl.yelpcdn.com/bphoto/_Qa7qefkldpaP2dd7sORGw/o.jpg,False,https://www.yelp.com/biz/taqueria-metro-basilica-west-covina-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,53,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 34.068665, 'longitude': -117.926758}",['delivery'],$,"{'address1': '310 S Vincent Ave', 'address2': '', 'address3': None, 'city': 'West Covina', 'zip_code': '91790', 'country': 'US', 'state': 'CA', 'display_address': ['310 S Vincent Ave', 'West Covina, CA 91790']}",+16268905852,(626) 890-5852,16022.375849384189
0m2d7p6uVbeiwMxj0L00ng,food-truck-friday-at-evfree-fullerton,Food Truck Friday at EVFree,https://s3-media1.fl.yelpcdn.com/bphoto/janURWvHzV2PNQBwnEy0zw/o.jpg,False,https://www.yelp.com/biz/food-truck-friday-at-evfree-fullerton?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 33.90137, 'longitude': -117.90927}",[],,"{'address1': '2801 Brea Blvd', 'address2': '', 'address3': None, 'city': 'Fullerton', 'zip_code': '92835', 'country': 'US', 'state': 'CA', 'display_address': ['2801 Brea Blvd', 'Fullerton, CA 92835']}",,,23881.408830370783
8LydYQNFmm9F8GspHcphiw,tac-o-the-town-covina,Tac-o the Town,https://s3-media3.fl.yelpcdn.com/bphoto/FkRAJdJaKB05PR-yaWfAOg/o.jpg,False,https://www.yelp.com/biz/tac-o-the-town-covina?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]",5.0,"{'latitude': 34.0957753804264, 'longitude': -117.916571704166}",[],,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Covina', 'zip_code': '91722', 'country': 'US', 'state': 'CA', 'display_address': ['Covina, CA 91722']}",+16268266978,(626) 826-6978,15320.750189048966
qMkcgdP5KFjeWlYO2h9tWw,speedy-dogs-la-puente-2,Speedy Dogs,https://s3-media4.fl.yelpcdn.com/bphoto/EpHUL8985R8F0Y19cSk1nQ/o.jpg,False,https://www.yelp.com/biz/speedy-dogs-la-puente-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,7,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 34.051929, 'longitude': -117.951054}",[],,"{'address1': '1123 W Francisquito Ave', 'address2': None, 'address3': '', 'city': 'la Puente', 'zip_code': '91744', 'country': 'US', 'state': 'CA', 'display_address': ['1123 W Francisquito Ave', 'la Puente, CA 91744']}",+13235064914,(323) 506-4914,18386.94505476472
VfAlzDfqVz5QgyS8IdgXJw,sweet-n-snowie-upland,Sweet N Snowie,https://s3-media4.fl.yelpcdn.com/bphoto/W4rF4lhLkyT67dIL4e-dQA/o.jpg,False,https://www.yelp.com/biz/sweet-n-snowie-upland?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,2,"[{'alias': 'shavedice', 'title': 'Shaved Ice'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.1479873657227, 'longitude': -117.67301940918}",[],,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Upland', 'zip_code': '91784', 'country': 'US', 'state': 'CA', 'display_address': ['Upland, CA 91784']}",+19097317726,(909) 731-7726,13470.89826495047
uHNYXKFUN0XhAn9WYoMywQ,silver-fox-mexican-food-truck-la-puente,Silver Fox Mexican Food Truck,https://s3-media3.fl.yelpcdn.com/bphoto/xWvuc9r8DB7s2q0W3FsK1g/o.jpg,False,https://www.yelp.com/biz/silver-fox-mexican-food-truck-la-puente?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.0071973213632, 'longitude': -117.91253618896}",[],,"{'address1': '17855 Valley Blvd', 'address2': '', 'address3': '', 'city': 'La Puente', 'zip_code': '91744', 'country': 'US', 'state': 'CA', 'display_address': ['17855 Valley Blvd', 'La Puente, CA 91744']}",,,16354.654204598472
hNIpIOUZplL_xSlgWeCBsg,the-lime-truck-irvine-3,The Lime Truck,https://s3-media3.fl.yelpcdn.com/bphoto/TkdK0mbyDiDqw8PCN47ZlQ/o.jpg,False,https://www.yelp.com/biz/the-lime-truck-irvine-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,780,"[{'alias': 'catering', 'title': 'Caterers'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 33.6511684580308, 'longitude': -117.742817738291}",[],$,"{'address1': '16211 Construction Cir W', 'address2': '', 'address3': '', 'city': 'Irvine', 'zip_code': '92606', 'country': 'US', 'state': 'CA', 'display_address': ['16211 Construction Cir W', 'Irvine, CA 92606']}",+19492320690,(949) 232-0690,46735.4043610872
ht6KGyAUL57bZOf_N8uTBQ,roll-em-up-taquitos-chino-hills-5,ROLL EM UP® TAQUITOS,https://s3-media1.fl.yelpcdn.com/bphoto/rQ_vGKhsHLEZRhyb3rI2Jg/o.jpg,False,https://www.yelp.com/biz/roll-em-up-taquitos-chino-hills-5?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,626,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 33.946646, 'longitude': -117.679587}","['delivery', 'pickup']",$$,"{'address1': '5751 Pine Ave', 'address2': 'Ste A', 'address3': None, 'city': 'Chino Hills', 'zip_code': '91709', 'country': 'US', 'state': 'CA', 'display_address': ['5751 Pine Ave', 'Ste A', 'Chino Hills, CA 91709']}",+19096068688,(909) 606-8688,15426.730469474212
OsASkLg5dWUzJVp_EzgZYA,jaliscos-mobile-taco-grill-los-angeles-3,Jaliscos Mobile Taco Grill,https://s3-media2.fl.yelpcdn.com/bphoto/GlfQIoIpFCYnJVKDVfwwsQ/o.jpg,False,https://www.yelp.com/biz/jaliscos-mobile-taco-grill-los-angeles-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,32,"[{'alias': 'catering', 'title': 'Caterers'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 34.09753, 'longitude': -117.90153}",[],$,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '91722', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 91722']}",+16263475923,(626) 347-5923,14463.934064639285
