id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
ahA9v4P_TF9JPLDx5-awNQ,noodlenation-food-truck-san-gabriel,Noodlenation Food Truck,https://s3-media2.fl.yelpcdn.com/bphoto/bCtUrRJ1rS8A_uaSFxMWuw/o.jpg,False,https://www.yelp.com/biz/noodlenation-food-truck-san-gabriel?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,11,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'noodles', 'title': 'Noodles'}]",3.5,"{'latitude': 34.1146278381348, 'longitude': -118.089248657227}",[],$$,"{'address1': None, 'address2': None, 'address3': '', 'city': 'San Gabriel', 'zip_code': '91775', 'country': 'US', 'state': 'CA', 'display_address': ['San Gabriel, CA 91775']}",+13238138988,(323) 813-8988,5140.144534705957
k4yW3WxYXJg2l1LUCDHvMQ,bittiebitez-los-angeles-3,BittieBitez,https://s3-media2.fl.yelpcdn.com/bphoto/Dn8YQWhyOaPOzxMdvAzfEQ/o.jpg,False,https://www.yelp.com/biz/bittiebitez-los-angeles-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.018393, 'longitude': -118.148722}",[],,"{'address1': '5680 Whittier Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90022', 'country': 'US', 'state': 'CA', 'display_address': ['5680 Whittier Blvd', 'Los Angeles, CA 90022']}",+16266271466,(626) 627-1466,8365.57919360477
o5AL9lZhfa6glcS0vrmdkg,pepes-red-tacos-los-angeles-2,PEPE'S RED TACOS,https://s3-media2.fl.yelpcdn.com/bphoto/DTUrbOUivSkpL0AqsdHe0Q/o.jpg,False,https://www.yelp.com/biz/pepes-red-tacos-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,46,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 34.0236288, 'longitude': -118.219265}","['delivery', 'pickup']",$,"{'address1': '2720 E Olympic Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90023', 'country': 'US', 'state': 'CA', 'display_address': ['2720 E Olympic Blvd', 'Los Angeles, CA 90023']}",+13234827311,(323) 482-7311,13661.805063237021
eta8oV3RpXXXyVZKm9wCSA,the-gooey-gourmet-pasadena,The Gooey Gourmet,https://s3-media3.fl.yelpcdn.com/bphoto/o6NaQAI-UiPpWVBVSu0Vzw/o.jpg,False,https://www.yelp.com/biz/the-gooey-gourmet-pasadena?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 34.14764, 'longitude': -118.14353}",[],,"{'address1': '100 Garfield Ave', 'address2': None, 'address3': '', 'city': 'Pasadena', 'zip_code': '91101', 'country': 'US', 'state': 'CA', 'display_address': ['100 Garfield Ave', 'Pasadena, CA 91101']}",+16265085272,(626) 508-5272,10476.94092100201
jBfuCJRFJP9SAiefnAbF0w,what-the-funnel-los-angeles,What The Funnel,https://s3-media3.fl.yelpcdn.com/bphoto/vsWnUSkOxOWJZZvFtD9CpQ/o.jpg,False,https://www.yelp.com/biz/what-the-funnel-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.051993, 'longitude': -118.263026}",[],$$,"{'address1': '1070 Wilshire Blvd', 'address2': '', 'address3': 'The Starving Actor', 'city': 'Los Angeles', 'zip_code': '90017', 'country': 'US', 'state': 'CA', 'display_address': ['1070 Wilshire Blvd', 'The Starving Actor', 'Los Angeles, CA 90017']}",+13104897208,(310) 489-7208,16836.195399028693
EsHex3jW3QbwzrOKNN0iYQ,hotato-potato-arcadia,Hotato Potato,https://s3-media2.fl.yelpcdn.com/bphoto/HnhqVBz0Itirt2AJAW7aWQ/o.jpg,False,https://www.yelp.com/biz/hotato-potato-arcadia?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,32,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.0,"{'latitude': 34.1353610157967, 'longitude': -118.054151460528}",[],$,"{'address1': '400 S Baldwin Ave', 'address2': '', 'address3': '', 'city': 'Arcadia', 'zip_code': '91007', 'country': 'US', 'state': 'CA', 'display_address': ['400 S Baldwin Ave', 'Arcadia, CA 91007']}",+12133276237,(213) 327-6237,7817.954877584107
EXAbQnko70SxnMOwTlBwCw,tacos-al-carbon-avocado-heights,Tacos Al Carbon,https://s3-media1.fl.yelpcdn.com/bphoto/LaYQj-SJk61Qcv8c90ajmw/o.jpg,False,https://www.yelp.com/biz/tacos-al-carbon-avocado-heights?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.0489429235458, 'longitude': -117.995668575168}",[],$,"{'address1': '13400 Valley Blvd', 'address2': '', 'address3': None, 'city': 'Avocado Heights', 'zip_code': '91746', 'country': 'US', 'state': 'CA', 'display_address': ['13400 Valley Blvd', 'Avocado Heights, CA 91746']}",,,8200.175461573748
4xJnp6APlAJM6SPy4vckxg,el-patron-tacos-baja-rosemead,El Patron Tacos Baja,https://s3-media2.fl.yelpcdn.com/bphoto/Rx7aIXtW3gk-GQoGWEsiog/o.jpg,False,https://www.yelp.com/biz/el-patron-tacos-baja-rosemead?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,114,"[{'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 34.042357136718, 'longitude': -118.092816078828}","['delivery', 'pickup']",$,"{'address1': '8131 Arroyo Dr', 'address2': '', 'address3': None, 'city': 'Rosemead', 'zip_code': '91770', 'country': 'US', 'state': 'CA', 'display_address': ['8131 Arroyo Dr', 'Rosemead, CA 91770']}",+16267827151,(626) 782-7151,3129.168366484264
Cz9Eg0lPbVA8Zk5EJ7neQg,twoheys-restaurant-south-pasadena,Twoheys Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/aonJ9Hf52FrXx_BQj3uf4Q/o.jpg,False,https://www.yelp.com/biz/twoheys-restaurant-south-pasadena?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,9,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'newamerican', 'title': 'American (New)'}]",5.0,"{'latitude': 34.12042, 'longitude': -118.14916}",[],,"{'address1': '424 Fair Oaks Ave', 'address2': None, 'address3': '', 'city': 'South Pasadena', 'zip_code': '91030', 'country': 'US', 'state': 'CA', 'display_address': ['424 Fair Oaks Ave', 'South Pasadena, CA 91030']}",+16262847387,(626) 284-7387,8561.152643607007
QMT5IVgkV1n5aI3l2Iy3eQ,mariscos-el-bigoton-los-angeles,Mariscos El Bigoton,https://s3-media3.fl.yelpcdn.com/bphoto/Nih4fhe8S_xSpyKC-sWPOQ/o.jpg,False,https://www.yelp.com/biz/mariscos-el-bigoton-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,189,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.019035, 'longitude': -118.151955}",['delivery'],$$,"{'address1': '5458 Whittier Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90022', 'country': 'US', 'state': 'CA', 'display_address': ['5458 Whittier Blvd', 'Los Angeles, CA 90022']}",+13233574269,(323) 357-4269,8544.237850825195
