id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
eta8oV3RpXXXyVZKm9wCSA,the-gooey-gourmet-pasadena,The Gooey Gourmet,https://s3-media3.fl.yelpcdn.com/bphoto/o6NaQAI-UiPpWVBVSu0Vzw/o.jpg,False,https://www.yelp.com/biz/the-gooey-gourmet-pasadena?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 34.14764, 'longitude': -118.14353}",[],"{'address1': '100 Garfield Ave', 'address2': None, 'address3': '', 'city': 'Pasadena', 'zip_code': '91101', 'country': 'US', 'state': 'CA', 'display_address': ['100 Garfield Ave', 'Pasadena, CA 91101']}",+16265085272,(626) 508-5272,7254.598008669434,
EsHex3jW3QbwzrOKNN0iYQ,hotato-potato-arcadia,Hotato Potato,https://s3-media2.fl.yelpcdn.com/bphoto/HnhqVBz0Itirt2AJAW7aWQ/o.jpg,False,https://www.yelp.com/biz/hotato-potato-arcadia?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,32,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",4.0,"{'latitude': 34.1353610157967, 'longitude': -118.054151460528}",[],"{'address1': '400 S Baldwin Ave', 'address2': '', 'address3': '', 'city': 'Arcadia', 'zip_code': '91007', 'country': 'US', 'state': 'CA', 'display_address': ['400 S Baldwin Ave', 'Arcadia, CA 91007']}",+12133276237,(213) 327-6237,5733.6924748448455,$
wwKjqfVzrXrkItJMHx5dPA,bettys-fresh-waters-east-los-angeles,Bettys Fresh Waters,https://s3-media2.fl.yelpcdn.com/bphoto/ApGwZB_HoIqBz6oeXXNDrA/o.jpg,False,https://www.yelp.com/biz/bettys-fresh-waters-east-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",5.0,"{'latitude': 34.019041, 'longitude': -118.1519785}",[],"{'address1': '5468 Whittier Blvd', 'address2': '', 'address3': None, 'city': 'East Los Angeles', 'zip_code': '90022', 'country': 'US', 'state': 'CA', 'display_address': ['5468 Whittier Blvd', 'East Los Angeles, CA 90022']}",,,10178.164926885149,
5GW88qpF1KaOt1OnniAzgA,birrieria-villalobos-los-angeles-5,Birrieria Villalobos,https://s3-media2.fl.yelpcdn.com/bphoto/oWbmGlkkjdu1qzE3SAAozg/o.jpg,False,https://www.yelp.com/biz/birrieria-villalobos-los-angeles-5?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,154,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 34.040696, 'longitude': -118.192434}",[],"{'address1': '439 N Indiana St', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90063', 'country': 'US', 'state': 'CA', 'display_address': ['439 N Indiana St', 'Los Angeles, CA 90063']}",+13236188129,(323) 618-8129,11011.343547669663,$
bx98Nr15LUBntgc9kqP15w,wings-n-waffles-los-angeles,Wings N Waffles,https://s3-media1.fl.yelpcdn.com/bphoto/mGOA6D-PIKdCqhVLa1NCRA/o.jpg,False,https://www.yelp.com/biz/wings-n-waffles-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,97,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",4.5,"{'latitude': 34.05814, 'longitude': -118.24666}",[],"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",+18187380469,(818) 738-0469,14237.70512365895,$
H4fMj1t-oqyt6ocU5jxx7Q,626-night-market-arcadia-2,626 Night Market,https://s3-media2.fl.yelpcdn.com/bphoto/I75ESj1Ky-fJmy-wK-0Mmg/o.jpg,False,https://www.yelp.com/biz/626-night-market-arcadia-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1716,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'festivals', 'title': 'Festivals'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 34.135962028494, 'longitude': -118.046417229709}",[],"{'address1': '285 W Huntington Dr', 'address2': None, 'address3': '', 'city': 'Arcadia', 'zip_code': '91007', 'country': 'US', 'state': 'CA', 'display_address': ['285 W Huntington Dr', 'Arcadia, CA 91007']}",,,6166.660503906733,$$
1SeCdGBjwEEO2MwJ7jPFeg,cousins-maine-lobster-los-angeles-los-angeles,Cousins Maine Lobster - Los Angeles,https://s3-media2.fl.yelpcdn.com/bphoto/ZcieicfixXGNdhL-enqZ9w/o.jpg,False,https://www.yelp.com/biz/cousins-maine-lobster-los-angeles-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,978,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 34.05682, 'longitude': -118.24387}",[],"{'address1': '', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",+18558554265,(855) 855-4265,14237.70512365895,$$
T5Qv6Xsb0LT7s48dnO3iKA,achara-food-truck-los-angeles,Achara Food Truck,https://s3-media3.fl.yelpcdn.com/bphoto/zZQLYOHnFAdIUZHLe4oczw/o.jpg,False,https://www.yelp.com/biz/achara-food-truck-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,48,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.0,"{'latitude': 34.05349, 'longitude': -118.24532}",[],"{'address1': '', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA']}",+13236098483,(323) 609-8483,14649.304889014315,$$
l-ruRkAW2UVyBOYxYLetsQ,el-grito-inglewood-2,El Grito,https://s3-media1.fl.yelpcdn.com/bphoto/_jorU7oJzf1rgoYALfl1qQ/o.jpg,False,https://www.yelp.com/biz/el-grito-inglewood-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,18,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 33.9398621, 'longitude': -118.3521759}",[],"{'address1': '10600 Hawthorne Blvd', 'address2': None, 'address3': '', 'city': 'Inglewood', 'zip_code': '90304', 'country': 'US', 'state': 'CA', 'display_address': ['10600 Hawthorne Blvd', 'Inglewood, CA 90304']}",+14242431123,(424) 243-1123,29514.246645949726,
k4yW3WxYXJg2l1LUCDHvMQ,bittiebitez-los-angeles-3,BittieBitez,https://s3-media2.fl.yelpcdn.com/bphoto/Dn8YQWhyOaPOzxMdvAzfEQ/o.jpg,False,https://www.yelp.com/biz/bittiebitez-los-angeles-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.018393, 'longitude': -118.148722}",[],"{'address1': '5680 Whittier Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90022', 'country': 'US', 'state': 'CA', 'display_address': ['5680 Whittier Blvd', 'Los Angeles, CA 90022']}",+16266271466,(626) 627-1466,10087.534905131952,
