id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
Igv3ctKBvR7M3yNhRFr8PQ,al-sazón-food-truck-los-angeles-2,Al Sazón Food Truck,https://s3-media1.fl.yelpcdn.com/bphoto/WNpjCT6eZUTlhsWLZhvPXw/o.jpg,False,https://www.yelp.com/biz/al-saz%C3%B3n-food-truck-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,7,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 34.2914715980784, 'longitude': -118.412707820535}",[],$$,"{'address1': '7782 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '91042', 'country': 'US', 'state': 'CA', 'display_address': ['7782 Foothill Blvd', 'Los Angeles, CA 91042']}",+18184823778,(818) 482-3778,17389.74456394546
E2vopkatD-wNXQ2UzLqMiA,tacos-molina-los-angeles,Tacos Molina,https://s3-media1.fl.yelpcdn.com/bphoto/9ZhZ6G45631Akh2hSVf1yQ/o.jpg,False,https://www.yelp.com/biz/tacos-molina-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,3,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",5.0,"{'latitude': 34.2665737193371, 'longitude': -118.421283848584}",[],,"{'address1': '10817 Sutter Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '91331', 'country': 'US', 'state': 'CA', 'display_address': ['10817 Sutter Ave', 'Los Angeles, CA 91331']}",,,19355.83185957255
Z5gGOSOYOLWvMUBHCRSi4Q,las-delicias-santa-clarita-2,Las Delicias,https://s3-media1.fl.yelpcdn.com/bphoto/IPa98WrTB8A_a0M_yifOeA/o.jpg,False,https://www.yelp.com/biz/las-delicias-santa-clarita-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,275,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 34.417386, 'longitude': -118.5028216}","['delivery', 'pickup']",$,"{'address1': '26515 Golden Valley Rd', 'address2': '', 'address3': '', 'city': 'Santa Clarita', 'zip_code': '91350', 'country': 'US', 'state': 'CA', 'display_address': ['26515 Golden Valley Rd', 'Santa Clarita, CA 91350']}",+16612902625,(661) 290-2625,1596.3939343688855
MJ-DXb2JLrxXfZFf7GhFGQ,don-cucos-taco-truck-san-fernando,Don Cucos Taco Truck,https://s3-media2.fl.yelpcdn.com/bphoto/jc_ZHlQK33oiSsAVvwrrxw/o.jpg,False,https://www.yelp.com/biz/don-cucos-taco-truck-san-fernando?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,206,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.2935958, 'longitude': -118.415513}",['delivery'],$,"{'address1': '12898 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'San Fernando', 'zip_code': '91342', 'country': 'US', 'state': 'CA', 'display_address': ['12898 Foothill Blvd', 'San Fernando, CA 91342']}",,,17065.700238006746
6ulTfifsivdNvmMgxLXDow,tacos-playa-de-oro-chatsworth,Tacos Playa De Oro,https://s3-media3.fl.yelpcdn.com/bphoto/hCEOgFvhvdni5pH5L5KNFw/o.jpg,False,https://www.yelp.com/biz/tacos-playa-de-oro-chatsworth?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,7,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.0,"{'latitude': 34.2499749169161, 'longitude': -118.588751591742}",[],$,"{'address1': '9861 De Soto Ave', 'address2': '', 'address3': None, 'city': 'Chatsworth', 'zip_code': '91311', 'country': 'US', 'state': 'CA', 'display_address': ['9861 De Soto Ave', 'Chatsworth, CA 91311']}",+18187211754,(818) 721-1754,19985.873852386365
FliNzZLQRb2-19z5iMGGGQ,tacos-tijuana-los-angeles-3,Tacos Tijuana,https://s3-media3.fl.yelpcdn.com/bphoto/uGOShB9VIjCQBUQFR0ohuA/o.jpg,False,https://www.yelp.com/biz/tacos-tijuana-los-angeles-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,19,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.25504, 'longitude': -118.43664}",[],,"{'address1': '13958 Van Nuys Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '91331', 'country': 'US', 'state': 'CA', 'display_address': ['13958 Van Nuys Blvd', 'Los Angeles, CA 91331']}",+18182697714,(818) 269-7714,19912.596294670082
NvUCqKrYiXNRKmMvsq6Pjg,the-taco-chef-granada-hills,The Taco Chef,https://s3-media4.fl.yelpcdn.com/bphoto/iYYDkYYdlNZrYOMXvepfPg/o.jpg,False,https://www.yelp.com/biz/the-taco-chef-granada-hills?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,19,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 34.217445, 'longitude': -118.47036}",[],,"{'address1': '15455 Cabrito Rd', 'address2': '', 'address3': None, 'city': 'Granada Hills', 'zip_code': '91406', 'country': 'US', 'state': 'CA', 'display_address': ['15455 Cabrito Rd', 'Granada Hills, CA 91406']}",+12137618226,(213) 761-8226,23026.870585163593
wgtKqTxfoprlR_EwNzlIhQ,cítrico-ceviche-bar-granada-hills-2,Cítrico Ceviche Bar,https://s3-media2.fl.yelpcdn.com/bphoto/R86uhlzRomlToQ_K7XHX-g/o.jpg,False,https://www.yelp.com/biz/c%C3%ADtrico-ceviche-bar-granada-hills-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,41,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.2627260815736, 'longitude': -118.523395210505}","['delivery', 'pickup']",$,"{'address1': '10601 Zelzah Blvd', 'address2': None, 'address3': '', 'city': 'Granada Hills', 'zip_code': '91344', 'country': 'US', 'state': 'CA', 'display_address': ['10601 Zelzah Blvd', 'Granada Hills, CA 91344']}",+18184583408,(818) 458-3408,17542.451822465184
PdsQ_5CA5A7FWdgAawTWRA,mariscos-zinalocoko-san-fernando,Mariscos zinalocoko,https://s3-media4.fl.yelpcdn.com/bphoto/lAxkY3hYwkkaCmo_DTTkXQ/o.jpg,False,https://www.yelp.com/biz/mariscos-zinalocoko-san-fernando?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,2,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.0,"{'latitude': 34.2637898382954, 'longitude': -118.467116765678}",[],,"{'address1': '', 'address2': '', 'address3': '', 'city': 'San Fernando', 'zip_code': '91345', 'country': 'US', 'state': 'CA', 'display_address': ['San Fernando, CA 91345']}",+18182567782,(818) 256-7782,18080.63655844708
yvZhdhMtzkM3hZG5ZJHm9g,recess-truck-los-angeles-5,Recess Truck,https://s3-media3.fl.yelpcdn.com/bphoto/8zKvOer1FIUVEuS5Jv1V2g/o.jpg,False,https://www.yelp.com/biz/recess-truck-los-angeles-5?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,69,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.0,"{'latitude': 34.040472, 'longitude': -118.2624381}",[],$$,"{'address1': '1120 S Grand Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90015', 'country': 'US', 'state': 'CA', 'display_address': ['1120 S Grand Ave', 'Los Angeles, CA 90015']}",+16262099831,(626) 209-9831,48427.27362256412
