id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
ewLIWt-7k_lU6yNOXdCZkA,kona-ice-of-downey-downey,Kona Ice of Downey,https://s3-media2.fl.yelpcdn.com/bphoto/Nan4HJifkgmfA70Y8CcPUQ/o.jpg,False,https://www.yelp.com/biz/kona-ice-of-downey-downey?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,14,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'shavedice', 'title': 'Shaved Ice'}]",4.5,"{'latitude': 33.9372725, 'longitude': -118.1298234}",[],"{'address1': None, 'address2': None, 'address3': None, 'city': 'Downey', 'zip_code': '90241', 'country': 'US', 'state': 'CA', 'display_address': ['Downey, CA 90241']}",+15629913807,(562) 991-3807,6120.340552516652,
qYIlDt-ypph0Vj6Uhi0P0A,tacos-el-negro-south-gate,Tacos El Negro,https://s3-media3.fl.yelpcdn.com/bphoto/BvoNvaC5VnfAV7hZvFLSnw/o.jpg,False,https://www.yelp.com/biz/tacos-el-negro-south-gate?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,341,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 33.928777, 'longitude': -118.168829}",['delivery'],"{'address1': '5720 Imperial Hwy', 'address2': 'Ste Q', 'address3': '', 'city': 'South Gate', 'zip_code': '90280', 'country': 'US', 'state': 'CA', 'display_address': ['5720 Imperial Hwy', 'Ste Q', 'South Gate, CA 90280']}",+15628694381,(562) 869-4381,2980.8728636601736,$
nKLQ4outPvb_akSsKK3MhQ,mariscos-el-veneno-los-angeles-5,Mariscos El Veneno,https://s3-media4.fl.yelpcdn.com/bphoto/WpudDXnaBq8pGbtFIQg6xA/o.jpg,False,https://www.yelp.com/biz/mariscos-el-veneno-los-angeles-5?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,9,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 33.93115083, 'longitude': -118.2262955}",[],"{'address1': '11501 S Alameda St', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90059', 'country': 'US', 'state': 'CA', 'display_address': ['11501 S Alameda St', 'Los Angeles, CA 90059']}",+13233453205,(323) 345-3205,3002.2502390127656,$
V-PnD2OrMivVTWKrr1x8EA,teddys-red-tacos-east-los-angeles,Teddy's Red Tacos,https://s3-media3.fl.yelpcdn.com/bphoto/wziHwI-1ddAdYW_TywZs_A/o.jpg,False,https://www.yelp.com/biz/teddys-red-tacos-east-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,23,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.01507, 'longitude': -118.13324}","['pickup', 'delivery']","{'address1': '6438 Whittier Blvd', 'address2': '', 'address3': None, 'city': 'East Los Angeles', 'zip_code': '90022', 'country': 'US', 'state': 'CA', 'display_address': ['6438 Whittier Blvd', 'East Los Angeles, CA 90022']}",+13234907166,(323) 490-7166,9812.725008441275,
wwKjqfVzrXrkItJMHx5dPA,bettys-fresh-waters-east-los-angeles,Bettys Fresh Waters,https://s3-media2.fl.yelpcdn.com/bphoto/ApGwZB_HoIqBz6oeXXNDrA/o.jpg,False,https://www.yelp.com/biz/bettys-fresh-waters-east-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",5.0,"{'latitude': 34.019041, 'longitude': -118.1519785}",[],"{'address1': '5468 Whittier Blvd', 'address2': '', 'address3': None, 'city': 'East Los Angeles', 'zip_code': '90022', 'country': 'US', 'state': 'CA', 'display_address': ['5468 Whittier Blvd', 'East Los Angeles, CA 90022']}",,,9304.61132123631,
5xFBQiB4Jcy9sI2fUHfcpg,mariscos-jalisco-los-angeles-3,Mariscos Jalisco,https://s3-media2.fl.yelpcdn.com/bphoto/YEx7QdaNiQmOhdvD4K50qA/o.jpg,False,https://www.yelp.com/biz/mariscos-jalisco-los-angeles-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,945,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.02089, 'longitude': -118.21287}",['delivery'],"{'address1': '3040 E Olympic Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90023', 'country': 'US', 'state': 'CA', 'display_address': ['3040 E Olympic Blvd', 'Los Angeles, CA 90023']}",+13235286701,(323) 528-6701,8742.097081288543,$
elP62NxBVs2v_OKXozQZuA,poutine-brothers-los-angeles-2,Poutine Brothers,https://s3-media3.fl.yelpcdn.com/bphoto/l1JVl45aJ4TCYxrnrKxx7g/o.jpg,False,https://www.yelp.com/biz/poutine-brothers-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,134,"[{'alias': 'poutineries', 'title': 'Poutineries'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.04375, 'longitude': -118.2666}",[],"{'address1': None, 'address2': None, 'address3': None, 'city': 'Los Angeles', 'zip_code': '90015', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90015']}",+12134373599,(213) 437-3599,12489.784198158904,
FXntM7X_gfKBhda8HF3QlA,carnitas-el-momo-compton,Carnitas El Momo,https://s3-media2.fl.yelpcdn.com/bphoto/xv5fakKYltKKV1Xbky3v1A/o.jpg,False,https://www.yelp.com/biz/carnitas-el-momo-compton?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",3.5,"{'latitude': 33.9123938072975, 'longitude': -118.223022334278}",[],"{'address1': '13201 Alameda St', 'address2': '', 'address3': None, 'city': 'Compton', 'zip_code': '90222', 'country': 'US', 'state': 'CA', 'display_address': ['13201 Alameda St', 'Compton, CA 90222']}",,,4290.706710586319,
cuL21vMgDy9QA1qWPDVMZA,lonchera-mariscos-del-pacifico-los-angeles,Lonchera Mariscos Del Pacifico,https://s3-media1.fl.yelpcdn.com/bphoto/X49fip3CJn3U9TuoVzGW4g/o.jpg,False,https://www.yelp.com/biz/lonchera-mariscos-del-pacifico-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.0195311734259, 'longitude': -118.237998532564}",[],"{'address1': '1930 East Washington Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90021', 'country': 'US', 'state': 'CA', 'display_address': ['1930 East Washington Blvd', 'Los Angeles, CA 90021']}",+13102452397,(310) 245-2397,9260.6764703992,
TvJBdaKpIb5nGT0qZ8cHEQ,tortas-gigante-el-chilango-los-angeles,"Tortas Gigante ""El Chilango""",https://s3-media3.fl.yelpcdn.com/bphoto/-j6qXQVfEX60HX3oXpQemQ/o.jpg,False,https://www.yelp.com/biz/tortas-gigante-el-chilango-los-angeles?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,15,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'importedfood', 'title': 'Imported Food'}]",4.5,"{'latitude': 33.9888916, 'longitude': -118.2398376}",[],"{'address1': '1832-1834 E Slauson Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90058', 'country': 'US', 'state': 'CA', 'display_address': ['1832-1834 E Slauson Ave', 'Los Angeles, CA 90058']}",+13234832047,(323) 483-2047,6472.5522024341635,$$
g5j6xzZHtbpNNR3919nLFw,birrieria-el-cheko-los-angeles-2,Birrieria El Cheko,https://s3-media1.fl.yelpcdn.com/bphoto/D8pUtaUcloE9nIL1gxfa9A/o.jpg,False,https://www.yelp.com/biz/birrieria-el-cheko-los-angeles-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,3,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 34.0178, 'longitude': -118.198393}",[],"{'address1': '3654 E Olympic Blvd', 'address2': None, 'address3': None, 'city': 'Los Angeles,', 'zip_code': '90023', 'country': 'US', 'state': 'CA', 'display_address': ['3654 E Olympic Blvd', 'Los Angeles,, CA 90023']}",+13239948850,(323) 994-8850,8261.41872593227,
jeg03NnsT4syV3hQjGpiWw,tacos-la-guera-walnut-park-2,Tacos La Guera,https://s3-media3.fl.yelpcdn.com/bphoto/2Ra8B4eM1u6nA9PexMjTYA/o.jpg,False,https://www.yelp.com/biz/tacos-la-guera-walnut-park-2?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.0,"{'latitude': 33.9659559186399, 'longitude': -118.225186474415}",[],"{'address1': 'Pacific Blvd & Cudahy St', 'address2': '', 'address3': None, 'city': 'Walnut Park', 'zip_code': '90280', 'country': 'US', 'state': 'CA', 'display_address': ['Pacific Blvd & Cudahy St', 'Walnut Park, CA 90280']}",,,3680.3399261739273,
