id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
FODseIr3ywtqOOe4CG2ErA,tuesday-food-truck-night-whittier,Tuesday Food Truck Night,https://s3-media2.fl.yelpcdn.com/bphoto/otgWMksT78ZJT3709kQ4Zg/o.jpg,False,https://www.yelp.com/biz/tuesday-food-truck-night-whittier?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,7,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",3.5,"{'latitude': 33.9700262, 'longitude': -118.0786665}",[],$$,"{'address1': '10800 Ben Avon St', 'address2': '', 'address3': '', 'city': 'Whittier', 'zip_code': '90606', 'country': 'US', 'state': 'CA', 'display_address': ['10800 Ben Avon St', 'Whittier, CA 90606']}",,,17240.007918429907
Sqi4EDGBSNlmvKBqPLAv0A,tacos-los-morales-covina,Tacos Los Morales,https://s3-media2.fl.yelpcdn.com/bphoto/9xp8bPWuo4G35HafV0NE9A/o.jpg,False,https://www.yelp.com/biz/tacos-los-morales-covina?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,32,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",5.0,"{'latitude': 34.10633, 'longitude': -117.84595}",[],$,"{'address1': '21008 E Arrow Hwy', 'address2': '', 'address3': None, 'city': 'Covina', 'zip_code': '91724', 'country': 'US', 'state': 'CA', 'display_address': ['21008 E Arrow Hwy', 'Covina, CA 91724']}",+13237210740,(323) 721-0740,9245.455336543777
EXAbQnko70SxnMOwTlBwCw,tacos-al-carbon-avocado-heights,Tacos Al Carbon,https://s3-media1.fl.yelpcdn.com/bphoto/LaYQj-SJk61Qcv8c90ajmw/o.jpg,False,https://www.yelp.com/biz/tacos-al-carbon-avocado-heights?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.0489429235458, 'longitude': -117.995668575168}",[],$,"{'address1': '13400 Valley Blvd', 'address2': '', 'address3': None, 'city': 'Avocado Heights', 'zip_code': '91746', 'country': 'US', 'state': 'CA', 'display_address': ['13400 Valley Blvd', 'Avocado Heights, CA 91746']}",,,7320.978241079272
kfm9qAJf8nY6UJhSmg2cDA,camichft-covina-3,Camichft,https://s3-media2.fl.yelpcdn.com/bphoto/3fBKNP73F5qtsN-95S8xZQ/o.jpg,False,https://www.yelp.com/biz/camichft-covina-3?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,33,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,"{'latitude': 34.1069046702971, 'longitude': -117.913374714553}",['delivery'],,"{'address1': '17200 Arrow Hwy', 'address2': None, 'address3': '', 'city': 'Covina', 'zip_code': '91722', 'country': 'US', 'state': 'CA', 'display_address': ['17200 Arrow Hwy', 'Covina, CA 91722']}",+16264357451,(626) 435-7451,6674.466847878025
5rC3icaAFizeJh-3L0D9oA,tacos-el-compa-la-puente-5,Tacos El Compa,https://s3-media2.fl.yelpcdn.com/bphoto/q_W9sHSkHUE8UEe3-tTfcA/o.jpg,False,https://www.yelp.com/biz/tacos-el-compa-la-puente-5?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,35,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}]",3.5,"{'latitude': 34.0517692565918, 'longitude': -117.942260742188}",[],$,"{'address1': '1860 N Hacienda Blvd', 'address2': '', 'address3': '', 'city': 'La Puente', 'zip_code': '91744', 'country': 'US', 'state': 'CA', 'display_address': ['1860 N Hacienda Blvd', 'La Puente, CA 91744']}",+16267369640,(626) 736-9640,2455.2576171581936
N0KP4jFnCybHR6QbBahnwA,food-trucks-at-the-fairplex-pomona,Food Trucks At the Fairplex,https://s3-media2.fl.yelpcdn.com/bphoto/TM95pMaVOo92DX0eUPiKEA/o.jpg,False,https://www.yelp.com/biz/food-trucks-at-the-fairplex-pomona?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,27,"[{'alias': 'foodstands', 'title': 'Food Stands'}]",3.5,"{'latitude': 34.0796518940303, 'longitude': -117.764736740218}",[],$$,"{'address1': '1101 W Mckinley Ave', 'address2': '', 'address3': 'Gate 1', 'city': 'Pomona', 'zip_code': '91768', 'country': 'US', 'state': 'CA', 'display_address': ['1101 W Mckinley Ave', 'Gate 1', 'Pomona, CA 91768']}",+19096233111,(909) 623-3111,14424.209885769471
w8j8FSG_Jf4vywi4wRs3-g,takos-aztecka-la-puente,Takos Aztecka,https://s3-media2.fl.yelpcdn.com/bphoto/m2Tn_4MdYhssV9SSjozOIA/o.jpg,False,https://www.yelp.com/biz/takos-aztecka-la-puente?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,6,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.5,"{'latitude': 34.0375224, 'longitude': -117.9711881}",['delivery'],,"{'address1': '322 N Sunset Ave', 'address2': None, 'address3': '', 'city': 'La Puente', 'zip_code': '91744', 'country': 'US', 'state': 'CA', 'display_address': ['322 N Sunset Ave', 'La Puente, CA 91744']}",+16266261508,(626) 626-1508,5146.7690656845825
eBRMFCuUJulYXmFUfuNQvQ,la-barquita-mariscos-covina,La Barquita Mariscos,https://s3-media3.fl.yelpcdn.com/bphoto/0QOZrsP88pAqQVjcM9vkfQ/o.jpg,False,https://www.yelp.com/biz/la-barquita-mariscos-covina?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,4,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",2.5,"{'latitude': 34.0975112915039, 'longitude': -117.903411865234}",[],,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Covina', 'zip_code': '91722', 'country': 'US', 'state': 'CA', 'display_address': ['Covina, CA 91722']}",+16264267609,(626) 426-7609,5388.688055930789
cYcNYyqchuOy_y-jiBKF0g,churro-boss-monterey-park-8,Churro Boss,https://s3-media1.fl.yelpcdn.com/bphoto/S1ba_qieCHYww-frICwF7g/o.jpg,False,https://www.yelp.com/biz/churro-boss-monterey-park-8?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,213,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.5,"{'latitude': 34.064898, 'longitude': -118.133709}",[],$,"{'address1': '300 N Atlantic Blvd', 'address2': None, 'address3': None, 'city': 'Monterey Park ', 'zip_code': '91754', 'country': 'US', 'state': 'CA', 'display_address': ['300 N Atlantic Blvd', 'Monterey Park , CA 91754']}",+12136182585,(213) 618-2585,20131.695655337535
H9SjzWyzHnsfCKv7-bXcKg,brothers-chinese-food-san-gabriel,Brothers Chinese Food,https://s3-media2.fl.yelpcdn.com/bphoto/ARRUw9CfmRRrUepixVcDmQ/o.jpg,False,https://www.yelp.com/biz/brothers-chinese-food-san-gabriel?adjust_creative=AJJp5ZbyG3U4JVXpf7gCgQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=AJJp5ZbyG3U4JVXpf7gCgQ,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}]",5.0,"{'latitude': 34.10202, 'longitude': -118.09164}",[],,"{'address1': '137 S San Gabriel Blvd', 'address2': '', 'address3': None, 'city': 'San Gabriel', 'zip_code': '91776', 'country': 'US', 'state': 'CA', 'display_address': ['137 S San Gabriel Blvd', 'San Gabriel, CA 91776']}",,,17291.95891543654
