name,review_count,rating,price,phone,display_phone,distance,lat,lng,zipcode,city
Roaming Hunger,124,4.0,$$,+18005689370,(800) 568-9370,5878.96743188699,34.097384,-118.3683601,90046,West Hollywood
Prince of Venice Food Truck,65,4.0,$$,+13106145443,(310) 614-5443,9627.652417125457,34.03313,-118.43872,90064,Los Angeles
Sam's Gourmet,30,4.0,$,+13234858521,(323) 485-8521,10179.680437677434,34.0498352050781,-118.212745666504,90033,Los Angeles
German's Catering Truck,41,5.0,$,+12138045854,(213) 804-5854,6263.058532380659,34.0107616343037,-118.292093033503,90037,Los Angeles
L.A Autentica Birrieria,120,5.0,$,+13236900987,(323) 690-0987,14746.067220052508,34.1871511,-118.3729288,91606,North Hollywood
Food-Truck Man,4,4.0,$$,+12029996689,(202) 999-6689,5015.472014257716,34.0255999177578,-118.288377484881,90007,Los Angeles
The Carnival Truck,10,4.0,$,+12133799873,(213) 379-9873,11561.907223698638,34.17144,-118.28592,91201,Los Angeles
Street Kitchen,223,4.0,$$,+13235162808,(323) 516-2808,4424.733221753789,34.0998,-118.32648,90028,Hollywood
The Garbage Truck,79,3.5,$,+14242350089,(424) 235-0089,12305.625781423201,33.97908,-118.25009,90001,Los Angeles
Mariscos Jalisco,134,4.5,$,+13233091622,(323) 309-1622,7316.322833174429,34.0340039972124,-118.249286006082,90021,Los Angeles
Kings Wings,126,4.5,$$,+18054569336,(805) 456-9336,4451.799222490807,34.1010193,-118.3297611,90028,Hollywood
WAFL Truck,91,4.0,$,+13238988799,(323) 898-8799,2876.005858016202,34.0690002441406,-118.350242614746,90036,Los Angeles
Mad Pambazos,33,4.5,$,+17037987268,(703) 798-7268,12305.625781423201,33.9788284301758,-118.249931335449,90001,Los Angeles
Amazebowls,178,4.5,$,+13236400973,(323) 640-0973,5860.203092103404,34.041488,-118.2625804,90015,Los Angeles
Okamoto Kitchen,516,4.0,$$,+18183739767,(818) 373-9767,13433.364841204091,34.1463062227897,-118.425396788406,91423,Los Angeles
Los Tacos Acosta,7,4.5,$,,,13844.717220136166,33.9546,-118.3982047,90045,Los Angeles
Postcards Central American Soul Food,128,4.5,$$,+13108010441,(310) 801-0441,5580.8995529348895,34.0387725830078,-118.26114654541,90015,Los Angeles
La Troca Catracha,12,4.5,$,+13237402228,(323) 740-2228,1816.3497991377328,34.06099,-118.30167,90010,Los Angeles
All Flavor No Grease,269,4.0,$$,+13233180409,(323) 318-0409,14790.545166477243,33.93804,-118.26194,90059,Los Angeles
Aji Teppanyaki,43,4.0,$$,+18185156778,(818) 515-6778,29459.98713370618,34.3097432,-118.4335721,91601,Los Angeles
Chiquis Taco Truck,60,4.5,$,+13239078108,(323) 907-8108,3292.4532026432244,34.0908937443473,-118.326503147299,90038,Los Angeles
KTOWN Night Market,174,3.0,$$,+14242449789,(424) 244-9789,2272.0039764952917,34.0598891,-118.2968023,90005,Los Angeles
The Food Truck Lot,6,4.0,$$,,,16374.48250178989,34.0020259,-118.4838472,90405,Santa Monica
B Sweet Dessert Truck,40,4.0,$,+13109639769,(310) 963-9769,7357.287967300945,34.0290045,-118.3908787,90034,Los Angeles
Mariscos Michoacan,14,4.0,$,,,2716.133293686045,34.0653498099349,-118.292245989163,90020,Los Angeles
Billionaire Burger Boyz,293,4.0,$$,+13105544116,(310) 554-4116,21845.514330272195,33.8893305,-118.2074657,90221,Compton
The Triple Threat Truck,149,3.5,$,+13235076404,(323) 507-6404,20866.501744402678,34.1580543518066,-118.512672424316,91316,Los Angeles
Tokyo Style Food Truck and Catering,186,4.5,$$,+13105916226,(310) 591-6226,12305.625781423201,33.97363,-118.24989,90001,Los Angeles
Kuushi Sushi,10,4.0,$$,+18189008589,(818) 900-8589,3463.4487568402233,34.06372,-118.35689,90036,Los Angeles
Baby's Badass Burgers,725,4.0,$$,+18779622297,(877) 962-2297,6311.81210658909,34.08841,-118.37783,90069,Los Angeles
Kogi BBQ Truck - Azul,2054,3.5,$,+13233150253,(323) 315-0253,7193.980371228938,34.10097,-118.29842,90027,Los Angeles
Hollywood Night Market,199,4.0,$$,+13234334805,(323) 433-4805,5280.308244503628,34.1058627501024,-118.342114999944,90068,Los Angeles
The Rooster,134,4.0,$$,+14242781839,(424) 278-1839,5818.063409970171,34.05513,-118.38404,90035,Los Angeles
Holy Moly Truck,54,4.0,$,+18185775665,(818) 577-5665,24541.980482234165,34.23462,-118.4969,91343,Los Angeles
Merguez Et Al,35,4.5,$$,+13234237997,(323) 423-7997,9627.652417125457,34.03313,-118.43872,90064,Los Angeles
Lobsterdamus,101,3.5,$$,+12135456412,(213) 545-6412,8272.933806772151,34.031327,-118.239352,90021,Los Angeles
Roll'n Lobster Food Truck,171,3.0,$$,+13106001934,(310) 600-1934,23308.986411227976,33.8629455566406,-118.394996643066,90254,Hermosa Beach
Tacos Super Gallito,273,3.5,$,+13233377424,(323) 337-7424,10714.704719226564,34.0496742,-118.4367951,90025,Los Angeles
The Berlin Truck,91,3.0,$$,+13104647390,(310) 464-7390,4906.111148449467,34.02911,-118.28306,90007,Los Angeles
Comet BBQ,65,4.0,$,+13105718255,(310) 571-8255,1166.136984716173,34.06698,-118.29979,90020,Los Angeles
Flamin Hot Chicken - Food Truck,84,5.0,$,+13237386317,(323) 738-6317,18514.06657422472,34.177396,-118.465885,91411,Van Nuys
Lily's Catering,24,3.5,$,+13235424766,(323) 542-4766,1736.3613074358227,34.0617099,-118.3025318,90010,Los Angeles
North Hollywood Food Truck Collective,6,4.0,$$,,,12727.62956893373,34.1655587673453,-118.37920621849,91601,North Hollywood
Super Tortas DF,157,4.5,$,+13233518379,(323) 351-8379,8340.11667698513,34.0090951,-118.2566828,90011,Los Angeles
Arroy Food Truck,74,4.0,$,+16262275666,(626) 227-5666,2876.005858016202,34.06484,-118.34989,90036,Los Angeles
Los Marcos Catering,1,5.0,$,,,5875.6326504260505,34.0367393493652,-118.265098571777,90015,Los Angeles
