,name,review_count,rating,price,phone,display_phone,distance,lat,lng,zipcode,city,Median Home Value,Median Household Income,Population Density
0,Roaming Hunger,124,4.0,$$,+18005689370,(800) 568-9370,5878.96743188699,34.097384,-118.3683601,90046,West Hollywood,873100.0,52641.0,8405.0
1,Prince of Venice Food Truck,65,4.0,$$,+13106145443,(310) 614-5443,9627.652417125457,34.03313,-118.43872,90064,Los Angeles,904200.0,84579.0,6350.0
2,Sam's Gourmet,30,4.0,$,+13234858521,(323) 485-8521,10179.680437677434,34.0498352050781,-118.212745666504,90033,Los Angeles,291100.0,28005.0,14954.0
3,German's Catering Truck,41,5.0,$,+12138045854,(213) 804-5854,6263.058532380659,34.0107616343037,-118.292093033503,90037,Los Angeles,271400.0,26796.0,21941.0
4,L.A Autentica Birrieria,120,5.0,$,+13236900987,(323) 690-0987,14746.067220052508,34.1871511,-118.3729288,91606,North Hollywood,363400.0,42521.0,13491.0
5,Food-Truck Man,4,4.0,$$,+12029996689,(202) 999-6689,5015.472014257716,34.0255999177578,-118.288377484881,90007,Los Angeles,388900.0,22420.0,16593.0
6,The Carnival Truck,10,4.0,$,+12133799873,(213) 379-9873,11561.907223698638,34.17144,-118.28592,91201,Los Angeles,615300.0,50107.0,9647.0
7,Street Kitchen,223,4.0,$$,+13235162808,(323) 516-2808,4424.733221753789,34.0998,-118.32648,90028,Hollywood,593900.0,30953.0,18838.0
8,The Garbage Truck,79,3.5,$,+14242350089,(424) 235-0089,12305.625781423201,33.97908,-118.25009,90001,Los Angeles,249600.0,35097.0,16306.0
9,Mariscos Jalisco,134,4.5,$,+13233091622,(323) 309-1622,7316.322833174429,34.0340039972124,-118.249286006082,90021,Los Angeles,444000.0,13415.0,1908.0
10,Kings Wings,126,4.5,$$,+18054569336,(805) 456-9336,4451.799222490807,34.1010193,-118.3297611,90028,Hollywood,593900.0,30953.0,18838.0
11,WAFL Truck,91,4.0,$,+13238988799,(323) 898-8799,2876.005858016202,34.0690002441406,-118.350242614746,90036,Los Angeles,945000.0,71589.0,14922.0
12,Mad Pambazos,33,4.5,$,+17037987268,(703) 798-7268,12305.625781423201,33.9788284301758,-118.249931335449,90001,Los Angeles,249600.0,35097.0,16306.0
13,Amazebowls,178,4.5,$,+13236400973,(323) 640-0973,5860.203092103404,34.041488,-118.2625804,90015,Los Angeles,429100.0,27393.0,11100.0
14,Okamoto Kitchen,516,4.0,$$,+18183739767,(818) 373-9767,13433.364841204091,34.1463062227897,-118.425396788406,91423,Los Angeles,755300.0,74011.0,7103.0
15,Los Tacos Acosta,7,4.5,$,,,13844.717220136166,33.9546,-118.3982047,90045,Los Angeles,661700.0,77893.0,3681.0
16,Postcards Central American Soul Food,128,4.5,$$,+13108010441,(310) 801-0441,5580.8995529348895,34.0387725830078,-118.26114654541,90015,Los Angeles,429100.0,27393.0,11100.0
17,La Troca Catracha,12,4.5,$,+13237402228,(323) 740-2228,1816.3497991377328,34.06099,-118.30167,90010,Los Angeles,514300.0,51359.0,8309.0
18,All Flavor No Grease,269,4.0,$$,+13233180409,(323) 318-0409,14790.545166477243,33.93804,-118.26194,90059,Los Angeles,221500.0,33962.0,12359.0
19,Aji Teppanyaki,43,4.0,$$,+18185156778,(818) 515-6778,29459.98713370618,34.3097432,-118.4335721,91601,Los Angeles,464200.0,48638.0,14028.0
20,Chiquis Taco Truck,60,4.5,$,+13239078108,(323) 907-8108,3292.4532026432244,34.0908937443473,-118.326503147299,90038,Los Angeles,525800.0,35144.0,18460.0
21,KTOWN Night Market,174,3.0,$$,+14242449789,(424) 244-9789,2272.0039764952917,34.0598891,-118.2968023,90005,Los Angeles,633600.0,31893.0,34761.0
22,The Food Truck Lot,6,4.0,$$,,,16374.48250178989,34.0020259,-118.4838472,90405,Santa Monica,1000001.0,75717.0,10272.0
23,B Sweet Dessert Truck,40,4.0,$,+13109639769,(310) 963-9769,7357.287967300945,34.0290045,-118.3908787,90034,Los Angeles,637100.0,56946.0,18621.0
24,Mariscos Michoacan,14,4.0,$,,,2716.133293686045,34.0653498099349,-118.292245989163,90020,Los Angeles,511800.0,38510.0,34475.0
25,Billionaire Burger Boyz,293,4.0,$$,+13105544116,(310) 554-4116,21845.514330272195,33.8893305,-118.2074657,90221,Compton,237100.0,42853.0,10072.0
26,The Triple Threat Truck,149,3.5,$,+13235076404,(323) 507-6404,20866.501744402678,34.1580543518066,-118.512672424316,91316,Los Angeles,487700.0,59199.0,5372.0
27,Tokyo Style Food Truck and Catering,186,4.5,$$,+13105916226,(310) 591-6226,12305.625781423201,33.97363,-118.24989,90001,Los Angeles,249600.0,35097.0,16306.0
28,Kuushi Sushi,10,4.0,$$,+18189008589,(818) 900-8589,3463.4487568402233,34.06372,-118.35689,90036,Los Angeles,945000.0,71589.0,14922.0
